seriola_dumerili ENSSDUG00000002982
hippocampus_comes ENSHCOG00000018394
xiphophorus_maculatus ENSXMAG00000024958
poecilia_reticulata ENSPREG00000021785
gambusia_affinis ENSGAFG00000016399
oryzias_latipes_asm223469v1 ENSORLG00015016765
oryzias_latipes_asm223469v1 ENSORLG00015016804
oryzias_latipes_asm223469v1 ENSORLG00015016841
amphilophus_citrinellus ENSACIG00000006052
takifugu_rubripes ENSTRUG00000024669
maylandia_zebra ENSMZEG00005019360
astatotilapia_calliptera ENSACLG00000023142
haplochromis_burtoni ENSHBUG00000009414
neolamprologus_brichardi ENSNBRG00000002699
stegastes_partitus ENSSPAG00000004036
labrus_bergylta ENSLBEG00000012764
mola_mola ENSMMOG00000002821
monopterus_albus ENSMALG00000008804
pygocentrus_nattereri ENSPNAG00000023880
paramormyrops_kingsleyae ENSPKIG00000004039
theropithecus_gelada ENSTGEG00000025869
