sus_scrofa ENSSSCG00000012813
erinaceus_europaeus ENSEEUG00000007893
neovison_vison ENSNVIG00000011655
mustela_putorius ENSMPUG00000016134
ursus_americanus ENSUAMG00000002153
ursus_maritimus ENSUMAG00000017317
ailuropoda_melanoleuca ENSAMEG00000011969
panthera_pardus ENSPPRG00000018359
panthera_tigris ENSPTIG00000007619
felis_catus ENSFCAG00000019258
tursiops_truncatus ENSTTRG00000008160
capra_hircus ENSCHIG00000018267
ovis_aries ENSOARG00000003566
capra_hircus ENSCHIG00000011894
capra_hircus ENSCHIG00000018831
bos_indicus ENSBIXG00005001036
bos_taurus ENSBTAG00000007817
bos_mutus ENSBMUG00000007115
capra_hircus ENSCHIG00000007639
vicugna_pacos ENSVPAG00000001361
canis_lupus ENSCAFG00020001468
canis_lupus ENSCAFG00000010854
vulpes_vulpes ENSVVUG00000009689
canis_lupus ENSCAFG00020008684
myotis_lucifugus ENSMLUG00000005420
pteropus_vampyrus ENSPVAG00000016850
cavia_porcellus ENSCPOG00000033981
aotus_nancymaae ENSANAG00000024915
vulpes_vulpes ENSVVUG00000020709
canis_lupus ENSCAFG00000030946
sorex_araneus ENSSARG00000005459
otolemur_garnettii ENSOGAG00000005255
choloepus_hoffmanni ENSCHOG00000003151
pan_paniscus ENSPPAG00000039895
pan_troglodytes ENSPTRG00000044491
gorilla_gorilla ENSGGOG00000027248
homo_sapiens ENSG00000185515
nomascus_leucogenys ENSNLEG00000014460
pan_troglodytes ENSPTRG00000046052
pan_paniscus ENSPPAG00000018818
gorilla_gorilla ENSGGOG00000027093
pongo_abelii ENSPPYG00000029491
pongo_abelii ENSPPYG00000020899
macaca_fascicularis ENSMFAG00000031106
macaca_nemestrina ENSMNEG00000032943
cercocebus_atys ENSCATG00000021334
mandrillus_leucophaeus ENSMLEG00000028598
papio_anubis ENSPANG00000010904
chlorocebus_sabaeus ENSCSAG00000006538
rhinopithecus_bieti ENSRBIG00000041345
rhinopithecus_roxellana ENSRROG00000039699
colobus_angolensis ENSCANG00000040628
theropithecus_gelada ENSTGEG00000013871
macaca_mulatta ENSMMUG00000010253
piliocolobus_tephrosceles ENSPTEG00000012160
theropithecus_gelada ENSTGEG00000016137
chlorocebus_sabaeus ENSCSAG00000011503
mandrillus_leucophaeus ENSMLEG00000038090
papio_anubis ENSPANG00000017407
cercocebus_atys ENSCATG00000033147
macaca_fascicularis ENSMFAG00000041039
macaca_nemestrina ENSMNEG00000038644
rhinopithecus_roxellana ENSRROG00000032116
rhinopithecus_bieti ENSRBIG00000028995
colobus_angolensis ENSCANG00000017728
cebus_capucinus ENSCCAG00000033753
saimiri_boliviensis ENSSBOG00000035771
carlito_syrichta ENSTSYG00000006632
propithecus_coquereli ENSPCOG00000010400
microcebus_murinus ENSMICG00000036150
cavia_porcellus ENSCPOG00000001882
octodon_degus ENSODEG00000000422
chinchilla_lanigera ENSCLAG00000000163
heterocephalus_glaber ENSHGLG00100007778
heterocephalus_glaber ENSHGLG00000001061
fukomys_damarensis ENSFDAG00000013604
heterocephalus_glaber ENSHGLG00000003144
heterocephalus_glaber ENSHGLG00100011334
fukomys_damarensis ENSFDAG00000011804
ictidomys_tridecemlineatus ENSSTOG00000019781
urocitellus_parryii ENSUPAG00010008154
spermophilus_dauricus ENSSDAG00000024821
marmota_marmota ENSMMMG00000000076
dipodomys_ordii ENSDORG00000013161
castor_canadensis ENSCCNG00000017657
cricetulus_griseus ENSCGRG00015008832
cricetulus_griseus ENSCGRG00001000059
cricetulus_griseus ENSCGRG00000010163
mesocricetus_auratus ENSMAUG00000017183
peromyscus_maniculatus ENSPEMG00000014353
microtus_ochrogaster ENSMOCG00000000841
microtus_ochrogaster ENSMOCG00000017215
mus_musculus ENSMUSG00000031201
mus_spicilegus ENSMSIG00000031737
mus_spretus MGP_SPRETEiJ_G0034358
mus_caroli MGP_CAROLIEiJ_G0033198
mus_pahari MGP_PahariEiJ_G0031742
mus_musculus ENSMUSG00000112039
meriones_unguiculatus ENSMUGG00000024181
cricetulus_griseus ENSCGRG00001009076
cricetulus_griseus ENSCGRG00000019793
cricetulus_griseus ENSCGRG00015010531
peromyscus_maniculatus ENSPEMG00000012864
nannospalax_galili ENSNGAG00000000120
jaculus_jaculus ENSJJAG00000012368
jaculus_jaculus ENSJJAG00000017846
tupaia_belangeri ENSTBEG00000009294
otolemur_garnettii ENSOGAG00000028801
oryctolagus_cuniculus ENSOCUG00000009730
ochotona_princeps ENSOPRG00000006577
equus_caballus ENSECAG00000021441
equus_asinus ENSEASG00005004482
callithrix_jacchus ENSCJAG00000004308
loxodonta_africana ENSLAFG00000013564
procavia_capensis ENSPCAG00000010770
echinops_telfairi ENSETEG00000013819
dasypus_novemcinctus ENSDNOG00000040788
rattus_norvegicus ENSRNOG00000048061
vombatus_ursinus ENSVURG00010019499
phascolarctos_cinereus ENSPCIG00000029336
notamacropus_eugenii ENSMEUG00000004426
sarcophilus_harrisii ENSSHAG00000005392
monodelphis_domestica ENSMODG00000016487
ornithorhynchus_anatinus ENSOANG00000008720
gallus_gallus ENSGALG00000005383
coturnix_japonica ENSCJPG00005011181
numida_meleagris ENSNMEG00000011504
anser_brachyrhynchus ENSABRG00000020312
anas_platyrhynchos ENSAPLG00000004484
manacus_vitellinus ENSMVIG00005003163
lepidothrix_coronata ENSLCOG00000014705
parus_major ENSPMJG00000011800
ficedula_albicollis ENSFALG00000011686
lonchura_striata ENSLSDG00000007332
junco_hyemalis ENSJHYG00000004875
serinus_canaria ENSSCAG00000016929
zonotrichia_albicollis ENSZALG00000002479
cyanistes_caeruleus ENSCCEG00000013612
nothoprocta_perdicaria ENSNPEG00000001767
apteryx_haastii ENSAHAG00000016784
apteryx_rowi ENSARWG00000013926
dromaius_novaehollandiae ENSDNVG00000017951
apteryx_owenii ENSAOWG00000015713
meleagris_gallopavo ENSMGAG00000009056
calidris_pugnax ENSCPUG00000000408
calidris_pygmaea ENSCPGG00000007041
melopsittacus_undulatus ENSMUNG00000002078
pogona_vitticeps ENSPVIG00000005740
anolis_carolinensis ENSACAG00000000447
notechis_scutatus ENSNSUG00000000576
salvator_merianae ENSSMRG00000013164
gopherus_agassizii ENSGAGG00000011358
chelonoidis_abingdonii ENSCABG00000013784
chrysemys_picta ENSCPBG00000005992
pelodiscus_sinensis ENSPSIG00000013233
crocodylus_porosus ENSCPRG00005000130
sphenodon_punctatus ENSSPUG00000018976
latimeria_chalumnae ENSLACG00000014746
erpetoichthys_calabaricus ENSECRG00000017936
scleropages_formosus ENSSFOG00015003171
clupea_harengus ENSCHAG00000012002
astyanax_mexicanus ENSAMXG00000036716
astyanax_mexicanus ENSAMXG00005021433
pygocentrus_nattereri ENSPNAG00000006361
electrophorus_electricus ENSEEEG00000020583
ictalurus_punctatus ENSIPUG00000010538
hucho_hucho ENSHHUG00000025118
hucho_hucho ENSHHUG00000042982
esox_lucius ENSELUG00000014838
paramormyrops_kingsleyae ENSPKIG00000008182
lepisosteus_oculatus ENSLOCG00000013781
danio_rerio ENSDARG00000098242
parambassis_ranga ENSPRNG00000011204
gouania_willdenowi ENSGWIG00000021616
tetraodon_nigroviridis ENSTNIG00000010327
takifugu_rubripes ENSTRUG00000003833
cynoglossus_semilaevis ENSCSEG00000017198
lates_calcarifer ENSLCAG00010016026
lates_calcarifer ENSLCAG00010013943
amphiprion_percula ENSAPEG00000020392
amphiprion_ocellaris ENSAOCG00000004487
acanthochromis_polyacanthus ENSAPOG00000012715
