peromyscus_maniculatus_bairdii ENSPEMG00000017327
microtus_ochrogaster ENSMOCG00000014216
cricetulus_griseus_chok1gshd ENSCGRG00001016470
cricetulus_griseus_crigri ENSCGRG00000007537
cricetulus_griseus_crigri-picr ENSCGRG00015028657
mesocricetus_auratus ENSMAUG00000018724
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0021245
mus_musculus ENSMUSG00000023048
mus_spicilegus ENSMSIG00000025400
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020352
mus_pahari MGP_PahariEiJ_G0020351
rattus_norvegicus ENSRNOG00000042094
meriones_unguiculatus ENSMUGG00000014486
nannospalax_galili ENSNGAG00000007574
