apteryx_owenii ENSAOWG00000010655
apteryx_haastii ENSAHAG00000014268
apteryx_rowi ENSARWG00000011803
dromaius_novaehollandiae ENSDNVG00000013827
nothoprocta_perdicaria ENSNPEG00000005883
anser_brachyrhynchus ENSABRG00000005548
anas_platyrhynchos_platyrhynchos ENSAPLG00000001622
calidris_pugnax ENSCPUG00000013080
calidris_pygmaea ENSCPGG00000018837
crocodylus_porosus ENSCPRG00005002564
gopherus_agassizii ENSGAGG00000001621
chelonoidis_abingdonii ENSCABG00000014991
chrysemys_picta_bellii ENSCPBG00000000251
sphenodon_punctatus ENSSPUG00000003386
