homo_sapiens ENSG00000286140
pan_troglodytes ENSPTRG00000045012
macaca_mulatta ENSMMUG00000010925
pan_paniscus ENSPPAG00000018373
pan_troglodytes ENSPTRG00000044890
nomascus_leucogenys ENSNLEG00000034223
macaca_fascicularis ENSMFAG00000002676
macaca_nemestrina ENSMNEG00000029689
carlito_syrichta ENSTSYG00000003508
propithecus_coquereli ENSPCOG00000020484
otolemur_garnettii ENSOGAG00000009161
cricetulus_griseus ENSCGRG00015009220
cricetulus_griseus ENSCGRG00001001218
microtus_ochrogaster ENSMOCG00000002888
mus_caroli MGP_CAROLIEiJ_G0031524
mus_musculus ENSMUSG00000117748
mus_pahari MGP_PahariEiJ_G0023124
nannospalax_galili ENSNGAG00000012011
jaculus_jaculus ENSJJAG00000006584
jaculus_jaculus ENSJJAG00000017346
heterocephalus_glaber ENSHGLG00000016809
heterocephalus_glaber ENSHGLG00100006794
fukomys_damarensis ENSFDAG00000019140
chinchilla_lanigera ENSCLAG00000006115
chinchilla_lanigera ENSCLAG00000007186
octodon_degus ENSODEG00000014715
cavia_porcellus ENSCPOG00000022495
dipodomys_ordii ENSDORG00000006869
oryctolagus_cuniculus ENSOCUG00000031317
ochotona_princeps ENSOPRG00000006925
tupaia_belangeri ENSTBEG00000010373
vicugna_pacos ENSVPAG00000003986
sus_scrofa ENSSSCG00000034165
bos_taurus ENSBTAG00000001698
bos_indicus ENSBIXG00005006294
capra_hircus ENSCHIG00000025109
tursiops_truncatus ENSTTRG00000015997
equus_caballus ENSECAG00000009022
equus_asinus ENSEASG00005021285
pteropus_vampyrus ENSPVAG00000015974
ursus_americanus ENSUAMG00000025898
ursus_maritimus ENSUMAG00000018856
ailuropoda_melanoleuca ENSAMEG00000007676
mustela_putorius ENSMPUG00000007195
canis_lupus ENSCAFG00020020212
vulpes_vulpes ENSVVUG00000013229
erinaceus_europaeus ENSEEUG00000009709
dasypus_novemcinctus ENSDNOG00000043724
loxodonta_africana ENSLAFG00000031817
procavia_capensis ENSPCAG00000006237
echinops_telfairi ENSETEG00000000857
sarcophilus_harrisii ENSSHAG00000012615
notamacropus_eugenii ENSMEUG00000005925
gopherus_agassizii ENSGAGG00000010020
chelonoidis_abingdonii ENSCABG00000013469
chrysemys_picta ENSCPBG00000027071
