tetraodon_nigroviridis ENSTNIG00000007641
takifugu_rubripes ENSTRUG00000006164
mola_mola ENSMMOG00000014793
hippocampus_comes ENSHCOG00000010553
poecilia_formosa ENSPFOG00000000001
poecilia_reticulata ENSPREG00000006056
xiphophorus_maculatus ENSXMAG00000024238
xiphophorus_couchianus ENSXCOG00000010683
poecilia_mexicana ENSPMEG00000021314
poecilia_latipinna ENSPLAG00000004792
gambusia_affinis ENSGAFG00000007478
cyprinodon_variegatus ENSCVAG00000005280
fundulus_heteroclitus ENSFHEG00000020633
oryzias_latipes ENSORLG00000025544
oryzias_latipes ENSORLG00020011184
oryzias_latipes_asm223469v1 ENSORLG00015018044
oryzias_melastigma ENSOMEG00000002906
amphiprion_ocellaris ENSAOCG00000008604
amphiprion_percula ENSAPEG00000021895
stegastes_partitus ENSSPAG00000001021
maylandia_zebra ENSMZEG00005009731
astatotilapia_calliptera ENSACLG00000016087
pundamilia_nyererei ENSPNYG00000008471
haplochromis_burtoni ENSHBUG00000019817
neolamprologus_brichardi ENSNBRG00000009669
oreochromis_niloticus ENSONIG00000017341
amphilophus_citrinellus ENSACIG00000016328
kryptolebias_marmoratus ENSKMAG00000018882
seriola_dumerili ENSSDUG00000001705
seriola_lalandi_dorsalis ENSSLDG00000016117
scophthalmus_maximus ENSSMAG00000007749
acanthochromis_polyacanthus ENSAPOG00000002181
cynoglossus_semilaevis ENSCSEG00000016302
mastacembelus_armatus ENSMAMG00000020030
anabas_testudineus ENSATEG00000022599
labrus_bergylta ENSLBEG00000007321
periophthalmus_magnuspinnatus ENSPMGG00000018626
gadus_morhua ENSGMOG00000001851
pygocentrus_nattereri ENSPNAG00000023521
astyanax_mexicanus ENSAMXG00000042914
ictalurus_punctatus ENSIPUG00000018606
danio_rerio ENSDARG00000061580
esox_lucius ENSELUG00000012219
paramormyrops_kingsleyae ENSPKIG00000013797
scleropages_formosus ENSSFOG00015003731
lepisosteus_oculatus ENSLOCG00000001422
paramormyrops_kingsleyae ENSPKIG00000010085
scleropages_formosus ENSSFOG00015003729
pogona_vitticeps ENSPVIG00000010324
salvator_merianae ENSSMRG00000010679
notechis_scutatus ENSNSUG00000006195
sphenodon_punctatus ENSSPUG00000002354
calidris_pygmaea ENSCPGG00000009193
calidris_pugnax ENSCPUG00000001732
manacus_vitellinus ENSMVIG00005010616
lepidothrix_coronata ENSLCOG00000011161
