seriola_dumerili ENSSDUG00000015470
seriola_lalandi_dorsalis ENSSLDG00000017499
cynoglossus_semilaevis ENSCSEG00000015559
anabas_testudineus ENSATEG00000007047
tetraodon_nigroviridis ENSTNIG00000013337
takifugu_rubripes ENSTRUG00000005572
labrus_bergylta ENSLBEG00000010314
gasterosteus_aculeatus ENSGACG00000009582
xiphophorus_couchianus ENSXCOG00000009184
xiphophorus_maculatus ENSXMAG00000012710
poecilia_formosa ENSPFOG00000017305
poecilia_mexicana ENSPMEG00000012082
poecilia_latipinna ENSPLAG00000010205
poecilia_reticulata ENSPREG00000011902
gambusia_affinis ENSGAFG00000011647
fundulus_heteroclitus ENSFHEG00000020405
cyprinodon_variegatus ENSCVAG00000020258
kryptolebias_marmoratus ENSKMAG00000020272
oryzias_latipes ENSORLG00000005824
oryzias_latipes ENSORLG00020008951
oryzias_latipes_asm223469v1 ENSORLG00015013829
oryzias_melastigma ENSOMEG00000008001
mastacembelus_armatus ENSMAMG00000017760
monopterus_albus ENSMALG00000017780
amphiprion_ocellaris ENSAOCG00000017717
stegastes_partitus ENSSPAG00000000512
haplochromis_burtoni ENSHBUG00000017482
astatotilapia_calliptera ENSACLG00000016797
neolamprologus_brichardi ENSNBRG00000016708
amphilophus_citrinellus ENSACIG00000004931
pundamilia_nyererei ENSPNYG00000004515
maylandia_zebra ENSMZEG00005027490
acanthochromis_polyacanthus ENSAPOG00000022399
amphiprion_percula ENSAPEG00000007592
mola_mola ENSMMOG00000008256
scophthalmus_maximus ENSSMAG00000020043
hippocampus_comes ENSHCOG00000015887
gadus_morhua ENSGMOG00000016680
esox_lucius ENSELUG00000006783
takifugu_rubripes ENSTRUG00000016506
pygocentrus_nattereri ENSPNAG00000025366
astyanax_mexicanus ENSAMXG00000036666
danio_rerio ENSDARG00000056214
