anas_platyrhynchos ENSAPLG00000004230
anser_brachyrhynchus ENSABRG00000017495
calidris_pygmaea ENSCPGG00000018675
melopsittacus_undulatus ENSMUNG00000015869
taeniopygia_guttata ENSTGUG00000006449
taeniopygia_guttata ENSTGUG00000013799
lonchura_striata ENSLSDG00000004886
serinus_canaria ENSSCAG00000008793
zonotrichia_albicollis ENSZALG00000002774
junco_hyemalis ENSJHYG00000010563
cyanistes_caeruleus ENSCCEG00000002491
parus_major ENSPMJG00000004508
ficedula_albicollis ENSFALG00000009036
lepidothrix_coronata ENSLCOG00000010623
manacus_vitellinus ENSMVIG00005007646
manacus_vitellinus ENSMVIG00005017403
apteryx_haastii ENSAHAG00000018208
apteryx_rowi ENSARWG00000014004
apteryx_owenii ENSAOWG00000016952
dromaius_novaehollandiae ENSDNVG00000015204
anolis_carolinensis ENSACAG00000001147
mus_spretus MGP_SPRETEiJ_G0028695
mus_spicilegus ENSMSIG00000012763
mus_musculus ENSMUSG00000043036
mus_caroli MGP_CAROLIEiJ_G0027697
mus_pahari MGP_PahariEiJ_G0024277
meriones_unguiculatus ENSMUGG00000014084
cricetulus_griseus ENSCGRG00001020405
cricetulus_griseus ENSCGRG00015026299
mesocricetus_auratus ENSMAUG00000014003
microtus_ochrogaster ENSMOCG00000001073
cavia_aperea ENSCAPG00000009672
ictidomys_tridecemlineatus ENSSTOG00000002208
urocitellus_parryii ENSUPAG00010006480
marmota_marmota ENSMMMG00000002566
vicugna_pacos ENSVPAG00000005747
procavia_capensis ENSPCAG00000014531
notamacropus_eugenii ENSMEUG00000008885
latimeria_chalumnae ENSLACG00000015386
clupea_harengus ENSCHAG00000012545
electrophorus_electricus ENSEEEG00000018793
esox_lucius ENSELUG00000023851
seriola_dumerili ENSSDUG00000022227
callorhinchus_milii ENSCMIG00000007134
