peromyscus_maniculatus_bairdii ENSPEMG00000005090
microtus_ochrogaster ENSMOCG00000021562
cricetulus_griseus_crigri ENSCGRG00000015844
cricetulus_griseus_chok1gshd ENSCGRG00001012442
cricetulus_griseus_crigri ENSCGRG00000008272
cricetulus_griseus_chok1gshd ENSCGRG00001013409
cricetulus_griseus_chok1gshd ENSCGRG00001019284
cricetulus_griseus_crigri-picr ENSCGRG00015012308
cricetulus_griseus_crigri ENSCGRG00000007523
mesocricetus_auratus ENSMAUG00000014624
mus_musculus ENSMUSG00000041571
mus_spicilegus ENSMSIG00000018481
rattus_norvegicus ENSRNOG00000051483
rattus_norvegicus ENSRNOG00000013548
meriones_unguiculatus ENSMUGG00000017851
meriones_unguiculatus ENSMUGG00000017894
nannospalax_galili ENSNGAG00000001219
jaculus_jaculus ENSJJAG00000007708
castor_canadensis ENSCCNG00000022197
ochotona_princeps ENSOPRG00000005847
pteropus_vampyrus ENSPVAG00000014674
erinaceus_europaeus ENSEEUG00000013905
propithecus_coquereli ENSPCOG00000013997
microcebus_murinus ENSMICG00000012606
prolemur_simus ENSPSMG00000023871
carlito_syrichta ENSTSYG00000034854
panthera_tigris_altaica ENSPTIG00000018779
panthera_pardus ENSPPRG00000009309
felis_catus ENSFCAG00000015176
panthera_tigris_altaica ENSPTIG00000007949
panthera_pardus ENSPPRG00000014559
felis_catus ENSFCAG00000040825
ursus_maritimus ENSUMAG00000023836
ailuropoda_melanoleuca ENSAMEG00000015208
mustela_putorius_furo ENSMPUG00000004433
canis_lupus_familiaris ENSCAFG00000004074
ursus_americanus ENSUAMG00000028257
neovison_vison ENSNVIG00000011156
equus_asinus_asinus ENSEASG00005004352
equus_caballus ENSECAG00000006989
tursiops_truncatus ENSTTRG00000011819
sus_scrofa ENSSSCG00000034313
capra_hircus ENSCHIG00000022860
ovis_aries ENSOARG00000011453
bison_bison_bison ENSBBBG00000014141
bos_mutus ENSBMUG00000009588
bos_taurus ENSBTAG00000049671
bos_mutus ENSBMUG00000003852
capra_hircus ENSCHIG00000017493
sorex_araneus ENSSARG00000005274
marmota_marmota_marmota ENSMMMG00000013140
urocitellus_parryii ENSUPAG00010010102
spermophilus_dauricus ENSSDAG00000013813
oryctolagus_cuniculus ENSOCUG00000021596
pan_troglodytes ENSPTRG00000034023
pan_paniscus ENSPPAG00000041563
gorilla_gorilla ENSGGOG00000041055
pongo_abelii ENSPPYG00000001620
nomascus_leucogenys ENSNLEG00000032088
chlorocebus_sabaeus ENSCSAG00000001029
theropithecus_gelada ENSTGEG00000013188
cebus_capucinus ENSCCAG00000003174
theropithecus_gelada ENSTGEG00000024129
papio_anubis ENSPANG00000014328
macaca_fascicularis ENSMFAG00000045788
macaca_mulatta ENSMMUG00000047482
mandrillus_leucophaeus ENSMLEG00000014481
colobus_angolensis_palliatus ENSCANG00000040024
piliocolobus_tephrosceles ENSPTEG00000039076
rhinopithecus_roxellana ENSRROG00000030554
rhinopithecus_bieti ENSRBIG00000031185
nomascus_leucogenys ENSNLEG00000028824
cercocebus_atys ENSCATG00000023895
macaca_nemestrina ENSMNEG00000035729
chlorocebus_sabaeus ENSCSAG00000002926
pan_troglodytes ENSPTRG00000048712
pan_troglodytes ENSPTRG00000011216
pan_paniscus ENSPPAG00000036760
homo_sapiens ENSG00000178980
pongo_abelii ENSPPYG00000010182
gorilla_gorilla ENSGGOG00000012269
nomascus_leucogenys ENSNLEG00000030217
callithrix_jacchus ENSCJAG00000043185
cebus_capucinus ENSCCAG00000024879
cebus_capucinus ENSCCAG00000022067
saimiri_boliviensis_boliviensis ENSSBOG00000035816
aotus_nancymaae ENSANAG00000020701
choloepus_hoffmanni ENSCHOG00000013206
choloepus_hoffmanni ENSCHOG00000001745
procavia_capensis ENSPCAG00000009567
monodelphis_domestica ENSMODG00000023715
notamacropus_eugenii ENSMEUG00000011634
ornithorhynchus_anatinus ENSOANG00000012449
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030297
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029217
mus_pahari MGP_PahariEiJ_G0021073
notechis_scutatus ENSNSUG00000007122
anolis_carolinensis ENSACAG00000004893
salvator_merianae ENSSMRG00000007145
sphenodon_punctatus ENSSPUG00000004460
apteryx_rowi ENSARWG00000009922
nothoprocta_perdicaria ENSNPEG00000005214
lonchura_striata_domestica ENSLSDG00000005726
pelodiscus_sinensis ENSPSIG00000018188
pygocentrus_nattereri ENSPNAG00000016995
astyanax_mexicanus ENSAMXG00000042466
ictalurus_punctatus ENSIPUG00000024060
danio_rerio ENSDARG00000035136
esox_lucius ENSELUG00000019250
