erinaceus_europaeus ENSEEUG00000009384
echinops_telfairi ENSETEG00000000093
tupaia_belangeri ENSTBEG00000004330
ochotona_princeps ENSOPRG00000002666
tursiops_truncatus ENSTTRG00000016967
pteropus_vampyrus ENSPVAG00000011766
vulpes_vulpes ENSVVUG00000017819
ursus_americanus ENSUAMG00000026555
octodon_degus ENSODEG00000001017
chinchilla_lanigera ENSCLAG00000002281
heterocephalus_glaber_female ENSHGLG00000003032
heterocephalus_glaber_male ENSHGLG00100015796
urocitellus_parryii ENSUPAG00010003732
spermophilus_dauricus ENSSDAG00000007842
ictidomys_tridecemlineatus ENSSTOG00000004371
marmota_marmota_marmota ENSMMMG00000011527
castor_canadensis ENSCCNG00000005992
dipodomys_ordii ENSDORG00000027723
peromyscus_maniculatus_bairdii ENSPEMG00000025490
microtus_ochrogaster ENSMOCG00000016030
cricetulus_griseus_crigri-picr ENSCGRG00015008043
cricetulus_griseus_chok1gshd ENSCGRG00001015068
cricetulus_griseus_crigri ENSCGRG00000009128
mesocricetus_auratus ENSMAUG00000011901
mus_musculus ENSMUSG00000031147
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034040
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032892
mus_spicilegus ENSMSIG00000006181
mus_pahari MGP_PahariEiJ_G0031440
rattus_norvegicus ENSRNOG00000010092
meriones_unguiculatus ENSMUGG00000008730
nannospalax_galili ENSNGAG00000013836
jaculus_jaculus ENSJJAG00000013085
oryctolagus_cuniculus ENSOCUG00000026212
pan_troglodytes ENSPTRG00000047576
pan_paniscus ENSPPAG00000037324
homo_sapiens ENSG00000269313
gorilla_gorilla ENSGGOG00000009033
nomascus_leucogenys ENSNLEG00000001349
rhinopithecus_roxellana ENSRROG00000044725
rhinopithecus_bieti ENSRBIG00000040127
colobus_angolensis_palliatus ENSCANG00000034007
cercocebus_atys ENSCATG00000031631
mandrillus_leucophaeus ENSMLEG00000036554
macaca_mulatta ENSMMUG00000023021
macaca_fascicularis ENSMFAG00000035726
macaca_nemestrina ENSMNEG00000029713
theropithecus_gelada ENSTGEG00000002217
papio_anubis ENSPANG00000012032
chlorocebus_sabaeus ENSCSAG00000012916
pongo_abelii ENSPPYG00000020335
piliocolobus_tephrosceles ENSPTEG00000014727
cebus_capucinus ENSCCAG00000001395
saimiri_boliviensis_boliviensis ENSSBOG00000034505
callithrix_jacchus ENSCJAG00000002679
aotus_nancymaae ENSANAG00000038043
carlito_syrichta ENSTSYG00000030669
propithecus_coquereli ENSPCOG00000023292
prolemur_simus ENSPSMG00000012973
microcebus_murinus ENSMICG00000029530
otolemur_garnettii ENSOGAG00000006325
myotis_lucifugus ENSMLUG00000028142
equus_caballus ENSECAG00000023295
bos_taurus ENSBTAG00000013278
bos_mutus ENSBMUG00000004416
ovis_aries ENSOARG00000010894
sus_scrofa ENSSSCG00000012295
mustela_putorius_furo ENSMPUG00000013813
neovison_vison ENSNVIG00000007559
ailuropoda_melanoleuca ENSAMEG00000012295
canis_lupus_dingo ENSCAFG00020020248
canis_lupus_familiaris ENSCAFG00000031300
panthera_pardus ENSPPRG00000016072
panthera_tigris_altaica ENSPTIG00000016318
felis_catus ENSFCAG00000003819
dasypus_novemcinctus ENSDNOG00000036078
loxodonta_africana ENSLAFG00000023267
