ursus_maritimus ENSUMAG00000010718
ursus_americanus ENSUAMG00000023738
ailuropoda_melanoleuca ENSAMEG00000020286
mustela_putorius_furo ENSMPUG00000019531
neovison_vison ENSNVIG00000022405
canis_lupus_dingo ENSCAFG00020001640
vulpes_vulpes ENSVVUG00000024372
equus_caballus ENSECAG00000007215
equus_asinus_asinus ENSEASG00005014267
bos_mutus ENSBMUG00000003471
bison_bison_bison ENSBBBG00000022555
capra_hircus ENSCHIG00000006169
sus_scrofa ENSSSCG00000023029
castor_canadensis ENSCCNG00000018194
dipodomys_ordii ENSDORG00000023720
urocitellus_parryii ENSUPAG00010013744
ictidomys_tridecemlineatus ENSSTOG00000030885
spermophilus_dauricus ENSSDAG00000007381
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030033
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030034
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031144
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031143
mus_musculus ENSMUSG00000073998
mus_spicilegus ENSMSIG00000027555
mus_pahari MGP_PahariEiJ_G0013254
rattus_norvegicus ENSRNOG00000030788
meriones_unguiculatus ENSMUGG00000014754
cricetulus_griseus_chok1gshd ENSCGRG00001009746
cricetulus_griseus_crigri-picr ENSCGRG00015013901
cricetulus_griseus_crigri ENSCGRG00000018558
peromyscus_maniculatus_bairdii ENSPEMG00000023224
microtus_ochrogaster ENSMOCG00000007737
heterocephalus_glaber_male ENSHGLG00100020848
heterocephalus_glaber_female ENSHGLG00000020956
cavia_aperea ENSCAPG00000013162
cavia_porcellus ENSCPOG00000012056
octodon_degus ENSODEG00000004509
oryctolagus_cuniculus ENSOCUG00000027488
oryctolagus_cuniculus ENSOCUG00000013875
prolemur_simus ENSPSMG00000003274
otolemur_garnettii ENSOGAG00000024992
homo_sapiens ENSG00000171561
gorilla_gorilla ENSGGOG00000023922
pan_troglodytes ENSPTRG00000004076
pan_paniscus ENSPPAG00000043903
pongo_abelii ENSPPYG00000003685
theropithecus_gelada ENSTGEG00000027807
mandrillus_leucophaeus ENSMLEG00000028367
papio_anubis ENSPANG00000018858
cercocebus_atys ENSCATG00000009927
chlorocebus_sabaeus ENSCSAG00000000621
macaca_fascicularis ENSMFAG00000015937
macaca_mulatta ENSMMUG00000010690
macaca_nemestrina ENSMNEG00000004250
piliocolobus_tephrosceles ENSPTEG00000024902
rhinopithecus_roxellana ENSRROG00000042697
rhinopithecus_bieti ENSRBIG00000036161
macaca_fascicularis ENSMFAG00000036733
macaca_nemestrina ENSMNEG00000043807
tupaia_belangeri ENSTBEG00000005160
loxodonta_africana ENSLAFG00000022125
procavia_capensis ENSPCAG00000005235
dasypus_novemcinctus ENSDNOG00000005086
