mustela_putorius_furo ENSMPUG00000000754
neovison_vison ENSNVIG00000023126
ailuropoda_melanoleuca ENSAMEG00000006569
canis_lupus_familiaris ENSCAFG00000029490
canis_lupus_dingo ENSCAFG00020003665
felis_catus ENSFCAG00000029704
panthera_tigris_altaica ENSPTIG00000021770
ursus_maritimus ENSUMAG00000023907
ursus_americanus ENSUAMG00000003682
equus_asinus_asinus ENSEASG00005012450
bos_mutus ENSBMUG00000008059
bos_taurus ENSBTAG00000039886
bison_bison_bison ENSBBBG00000010960
ovis_aries ENSOARG00000005775
sus_scrofa ENSSSCG00000014037
panthera_pardus ENSPPRG00000005062
panthera_pardus ENSPPRG00000000984
vulpes_vulpes ENSVVUG00000000418
equus_caballus ENSECAG00000022615
oryctolagus_cuniculus ENSOCUG00000009182
ochotona_princeps ENSOPRG00000002957
