cebus_capucinus ENSCCAG00000024983
saimiri_boliviensis_boliviensis ENSSBOG00000035363
callithrix_jacchus ENSCJAG00000042010
aotus_nancymaae ENSANAG00000030842
homo_sapiens ENSG00000286007
rhinopithecus_roxellana ENSRROG00000025439
rhinopithecus_bieti ENSRBIG00000041166
colobus_angolensis_palliatus ENSCANG00000036382
cercocebus_atys ENSCATG00000044138
papio_anubis ENSPANG00000035238
mandrillus_leucophaeus ENSMLEG00000026102
macaca_nemestrina ENSMNEG00000004173
macaca_fascicularis ENSMFAG00000040168
pan_troglodytes ENSPTRG00000046239
pan_paniscus ENSPPAG00000030365
homo_sapiens ENSG00000283439
gorilla_gorilla ENSGGOG00000037291
carlito_syrichta ENSTSYG00000027813
propithecus_coquereli ENSPCOG00000027458
microcebus_murinus ENSMICG00000042623
cricetulus_griseus_crigri ENSCGRG00000010439
cricetulus_griseus_chok1gshd ENSCGRG00001023786
cricetulus_griseus_crigri-picr ENSCGRG00015009500
microtus_ochrogaster ENSMOCG00000022965
mus_spicilegus ENSMSIG00000025405
mus_musculus ENSMUSG00000109737
nannospalax_galili ENSNGAG00000019102
ictidomys_tridecemlineatus ENSSTOG00000033242
heterocephalus_glaber_male ENSHGLG00100013125
heterocephalus_glaber_female ENSHGLG00000009927
fukomys_damarensis ENSFDAG00000019862
neovison_vison ENSNVIG00000003210
mustela_putorius_furo ENSMPUG00000009781
panthera_pardus ENSPPRG00000024038
sus_scrofa ENSSSCG00000040543
