equus_asinus_asinus ENSEASG00005001672
equus_caballus ENSECAG00000038331
mustela_putorius_furo ENSMPUG00000006467
neovison_vison ENSNVIG00000017920
ursus_maritimus ENSUMAG00000007605
ursus_americanus ENSUAMG00000026604
spermophilus_dauricus ENSSDAG00000004630
urocitellus_parryii ENSUPAG00010000294
marmota_marmota_marmota ENSMMMG00000001303
rattus_norvegicus ENSRNOG00000055829
mus_spicilegus ENSMSIG00000013827
peromyscus_maniculatus_bairdii ENSPEMG00000025806
cricetulus_griseus_crigri-picr ENSCGRG00015009636
oryctolagus_cuniculus ENSOCUG00000027526
loxodonta_africana ENSLAFG00000027252
