ictidomys_tridecemlineatus ENSSTOG00000007587
urocitellus_parryii ENSUPAG00010001173
castor_canadensis ENSCCNG00000008843
cricetulus_griseus_chok1gshd ENSCGRG00001023990
cricetulus_griseus_crigri ENSCGRG00000008052
cricetulus_griseus_crigri-picr ENSCGRG00015027776
cricetulus_griseus_chok1gshd ENSCGRG00001024024
mesocricetus_auratus ENSMAUG00000006212
microtus_ochrogaster ENSMOCG00000022242
peromyscus_maniculatus_bairdii ENSPEMG00000019685
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018605
mus_spicilegus ENSMSIG00000018300
mus_musculus ENSMUSG00000021025
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017760
mus_pahari MGP_PahariEiJ_G0029516
cavia_porcellus ENSCPOG00000005455
octodon_degus ENSODEG00000007044
chinchilla_lanigera ENSCLAG00000011667
heterocephalus_glaber_male ENSHGLG00100011244
heterocephalus_glaber_female ENSHGLG00000003215
fukomys_damarensis ENSFDAG00000004261
ochotona_princeps ENSOPRG00000014593
oryctolagus_cuniculus ENSOCUG00000015642
propithecus_coquereli ENSPCOG00000018810
microcebus_murinus ENSMICG00000004403
otolemur_garnettii ENSOGAG00000003716
pan_troglodytes ENSPTRG00000006265
pan_paniscus ENSPPAG00000041784
gorilla_gorilla ENSGGOG00000009397
homo_sapiens ENSG00000100906
pongo_abelii ENSPPYG00000005743
nomascus_leucogenys ENSNLEG00000003728
rhinopithecus_bieti ENSRBIG00000043081
colobus_angolensis_palliatus ENSCANG00000024149
piliocolobus_tephrosceles ENSPTEG00000017225
cercocebus_atys ENSCATG00000041261
theropithecus_gelada ENSTGEG00000002735
papio_anubis ENSPANG00000021245
macaca_fascicularis ENSMFAG00000017605
macaca_nemestrina ENSMNEG00000039580
macaca_mulatta ENSMMUG00000020374
chlorocebus_sabaeus ENSCSAG00000015526
cebus_capucinus ENSCCAG00000034635
saimiri_boliviensis_boliviensis ENSSBOG00000022575
callithrix_jacchus ENSCJAG00000006806
aotus_nancymaae ENSANAG00000030609
pteropus_vampyrus ENSPVAG00000010724
erinaceus_europaeus ENSEEUG00000001517
ailuropoda_melanoleuca ENSAMEG00000015629
ursus_americanus ENSUAMG00000023469
neovison_vison ENSNVIG00000002189
mustela_putorius_furo ENSMPUG00000016286
canis_lupus_familiaris ENSCAFG00000013418
panthera_pardus ENSPPRG00000022600
felis_catus ENSFCAG00000006671
sus_scrofa ENSSSCG00000001952
tursiops_truncatus ENSTTRG00000007970
bos_taurus ENSBTAG00000016683
bison_bison_bison ENSBBBG00000009508
capra_hircus ENSCHIG00000010157
ovis_aries ENSOARG00000007502
equus_asinus_asinus ENSEASG00005002070
equus_caballus ENSECAG00000023420
loxodonta_africana ENSLAFG00000018611
echinops_telfairi ENSETEG00000004021
choloepus_hoffmanni ENSCHOG00000000978
notamacropus_eugenii ENSMEUG00000011731
ornithorhynchus_anatinus ENSOANG00000002493
