mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025384
mus_spicilegus ENSMSIG00000001535
mus_musculus ENSMUSG00000056544
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024463
mus_pahari MGP_PahariEiJ_G0025906
rattus_norvegicus ENSRNOG00000023154
meriones_unguiculatus ENSMUGG00000023099
mesocricetus_auratus ENSMAUG00000000830
cricetulus_griseus_crigri-picr ENSCGRG00015003792
nannospalax_galili ENSNGAG00000003549
fukomys_damarensis ENSFDAG00000017143
ochotona_princeps ENSOPRG00000008588
propithecus_coquereli ENSPCOG00000003833
prolemur_simus ENSPSMG00000003277
microcebus_murinus ENSMICG00000047648
otolemur_garnettii ENSOGAG00000002338
pan_paniscus ENSPPAG00000029202
pan_troglodytes ENSPTRG00000045857
homo_sapiens ENSG00000131068
gorilla_gorilla ENSGGOG00000042168
pongo_abelii ENSPPYG00000010880
nomascus_leucogenys ENSNLEG00000009566
mandrillus_leucophaeus ENSMLEG00000033459
cercocebus_atys ENSCATG00000032846
macaca_fascicularis ENSMFAG00000034613
chlorocebus_sabaeus ENSCSAG00000012816
papio_anubis ENSPANG00000023986
theropithecus_gelada ENSTGEG00000008797
piliocolobus_tephrosceles ENSPTEG00000001837
callithrix_jacchus ENSCJAG00000042133
cebus_capucinus ENSCCAG00000024522
saimiri_boliviensis_boliviensis ENSSBOG00000020921
aotus_nancymaae ENSANAG00000033745
canis_lupus_familiaris ENSCAFG00000025054
canis_lupus_dingo ENSCAFG00020004149
vulpes_vulpes ENSVVUG00000008357
capra_hircus ENSCHIG00000014535
choloepus_hoffmanni ENSCHOG00000000239
dasypus_novemcinctus ENSDNOG00000000764
