clupea_harengus ENSCHAG00000026172
denticeps_clupeoides ENSDCDG00000030363
astyanax_mexicanus ENSAMXG00005019424
astyanax_mexicanus ENSAMXG00000030733
pygocentrus_nattereri ENSPNAG00000022617
ictalurus_punctatus ENSIPUG00000018199
electrophorus_electricus ENSEEEG00000021988
tetraodon_nigroviridis ENSTNIG00000010612
tetraodon_nigroviridis ENSTNIG00000002379
takifugu_rubripes ENSTRUG00000013249
periophthalmus_magnuspinnatus ENSPMGG00000022347
cynoglossus_semilaevis ENSCSEG00000000887
betta_splendens ENSBSLG00000001294
astatotilapia_calliptera ENSACLG00000011140
haplochromis_burtoni ENSHBUG00000005457
maylandia_zebra ENSMZEG00005015426
pundamilia_nyererei ENSPNYG00000008393
neolamprologus_brichardi ENSNBRG00000016629
oreochromis_niloticus ENSONIG00000007140
amphilophus_citrinellus ENSACIG00000024107
parambassis_ranga ENSPRNG00000021033
oryzias_latipes ENSORLG00015014679
oryzias_latipes ENSORLG00020012442
oryzias_latipes ENSORLG00000000068
oryzias_melastigma ENSOMEG00000020623
poecilia_mexicana ENSPMEG00000021376
poecilia_latipinna ENSPLAG00000011604
poecilia_formosa ENSPFOG00000014758
poecilia_reticulata ENSPREG00000015932
xiphophorus_couchianus ENSXCOG00000020473
xiphophorus_maculatus ENSXMAG00000008123
gambusia_affinis ENSGAFG00000011327
fundulus_heteroclitus ENSFHEG00000009063
cyprinodon_variegatus ENSCVAG00000014333
monopterus_albus ENSMALG00000012977
seriola_lalandi ENSSLDG00000008738
seriola_dumerili ENSSDUG00000011435
mastacembelus_armatus ENSMAMG00000022325
larimichthys_crocea ENSLCRG00005020643
mola_mola ENSMMOG00000000903
amphiprion_ocellaris ENSAOCG00000014780
amphiprion_percula ENSAPEG00000008229
acanthochromis_polyacanthus ENSAPOG00000021434
stegastes_partitus ENSSPAG00000023373
kryptolebias_marmoratus ENSKMAG00000003229
scophthalmus_maximus ENSSMAG00000011793
cottoperca_gobio ENSCGOG00000014216
monopterus_albus ENSMALG00000000774
lates_calcarifer ENSLCAG00010010465
labrus_bergylta ENSLBEG00000006488
anabas_testudineus ENSATEG00000015465
hippocampus_comes ENSHCOG00000018153
hucho_hucho ENSHHUG00000024574
hucho_hucho ENSHHUG00000024586
hucho_hucho ENSHHUG00000030273
esox_lucius ENSELUG00000003332
scleropages_formosus ENSSFOG00015014463
erpetoichthys_calabaricus ENSECRG00000007458
paramormyrops_kingsleyae ENSPKIG00000017857
danio_rerio ENSDARG00000079945
pelodiscus_sinensis ENSPSIG00000001476
pelodiscus_sinensis ENSPSIG00000002819
gopherus_agassizii ENSGAGG00000010784
chelonoidis_abingdonii ENSCABG00000018540
chrysemys_picta ENSCPBG00000021933
pogona_vitticeps ENSPVIG00000011957
anolis_carolinensis ENSACAG00000017244
notechis_scutatus ENSNSUG00000015628
salvator_merianae ENSSMRG00000018235
sphenodon_punctatus ENSSPUG00000006152
calidris_pygmaea ENSCPGG00000016372
calidris_pugnax ENSCPUG00000005130
melopsittacus_undulatus ENSMUNG00000006662
zonotrichia_albicollis ENSZALG00000017716
junco_hyemalis ENSJHYG00000012324
serinus_canaria ENSSCAG00000016277
lonchura_striata ENSLSDG00000011050
taeniopygia_guttata ENSTGUG00000009184
parus_major ENSPMJG00000018402
cyanistes_caeruleus ENSCCEG00000023411
ficedula_albicollis ENSFALG00000003412
manacus_vitellinus ENSMVIG00005001353
manacus_vitellinus ENSMVIG00005001373
lepidothrix_coronata ENSLCOG00000016272
coturnix_japonica ENSCJPG00005017347
gallus_gallus ENSGALG00000023439
meleagris_gallopavo ENSMGAG00000009475
numida_meleagris ENSNMEG00000022207
anser_brachyrhynchus ENSABRG00000003243
anas_platyrhynchos ENSAPLG00000012766
apteryx_rowi ENSARWG00000004293
apteryx_haastii ENSAHAG00000008499
apteryx_owenii ENSAOWG00000018629
dromaius_novaehollandiae ENSDNVG00000017334
nothoprocta_perdicaria ENSNPEG00000014450
chrysemys_picta ENSCPBG00000003060
pogona_vitticeps ENSPVIG00000004895
vombatus_ursinus ENSVURG00010018750
phascolarctos_cinereus ENSPCIG00000025370
notamacropus_eugenii ENSMEUG00000005713
sarcophilus_harrisii ENSSHAG00000010083
monodelphis_domestica ENSMODG00000009854
castor_canadensis ENSCCNG00000002127
dipodomys_ordii ENSDORG00000013339
mus_musculus ENSMUSG00000075267
mus_spretus MGP_SPRETEiJ_G0024610
mus_caroli MGP_CAROLIEiJ_G0023689
mus_spicilegus ENSMSIG00000029431
mus_pahari MGP_PahariEiJ_G0025140
rattus_norvegicus ENSRNOG00000038165
meriones_unguiculatus ENSMUGG00000008284
peromyscus_maniculatus ENSPEMG00000013970
microtus_ochrogaster ENSMOCG00000006830
cricetulus_griseus ENSCGRG00000002607
cricetulus_griseus ENSCGRG00001006219
cricetulus_griseus ENSCGRG00015021457
mesocricetus_auratus ENSMAUG00000018018
nannospalax_galili ENSNGAG00000022020
jaculus_jaculus ENSJJAG00000012900
urocitellus_parryii ENSUPAG00010005878
ictidomys_tridecemlineatus ENSSTOG00000028411
spermophilus_dauricus ENSSDAG00000006226
marmota_marmota ENSMMMG00000006691
cavia_aperea ENSCAPG00000010608
cavia_porcellus ENSCPOG00000037882
octodon_degus ENSODEG00000008177
chinchilla_lanigera ENSCLAG00000010713
heterocephalus_glaber ENSHGLG00100015692
heterocephalus_glaber ENSHGLG00000011003
fukomys_damarensis ENSFDAG00000014486
ochotona_princeps ENSOPRG00000007593
pan_troglodytes ENSPTRG00000029126
pan_paniscus ENSPPAG00000037654
gorilla_gorilla ENSGGOG00000011071
homo_sapiens ENSG00000204311
pongo_abelii ENSPPYG00000012977
nomascus_leucogenys ENSNLEG00000006144
theropithecus_gelada ENSTGEG00000022812
