mesocricetus_auratus ENSMAUG00000010320
castor_canadensis ENSCCNG00000005765
theropithecus_gelada ENSTGEG00000012174
castor_canadensis ENSCCNG00000010770
ursus_americanus ENSUAMG00000004973
meriones_unguiculatus ENSMUGG00000024298
ursus_americanus ENSUAMG00000002263
equus_asinus_asinus ENSEASG00005022632
equus_caballus ENSECAG00000028749
marmota_marmota_marmota ENSMMMG00000009118
notechis_scutatus ENSNSUG00000006554
pogona_vitticeps ENSPVIG00000007118
gopherus_agassizii ENSGAGG00000007446
poecilia_mexicana ENSPMEG00000012486
