callithrix_jacchus ENSCJAG00000039147
saimiri_boliviensis_boliviensis ENSSBOG00000026820
saimiri_boliviensis_boliviensis ENSSBOG00000025014
pan_troglodytes ENSPTRG00000052448
homo_sapiens ENSG00000203923
pan_troglodytes ENSPTRG00000028276
homo_sapiens ENSG00000204363
gorilla_gorilla ENSGGOG00000007269
pongo_abelii ENSPPYG00000020367
pongo_abelii ENSPPYG00000020911
nomascus_leucogenys ENSNLEG00000029354
nomascus_leucogenys ENSNLEG00000003617
macaca_fascicularis ENSMFAG00000031635
macaca_mulatta ENSMMUG00000018026
macaca_nemestrina ENSMNEG00000029139
papio_anubis ENSPANG00000029618
theropithecus_gelada ENSTGEG00000005659
mandrillus_leucophaeus ENSMLEG00000032608
cercocebus_atys ENSCATG00000034306
cercocebus_atys ENSCATG00000044594
mandrillus_leucophaeus ENSMLEG00000039612
papio_anubis ENSPANG00000013293
rhinopithecus_roxellana ENSRROG00000042938
piliocolobus_tephrosceles ENSPTEG00000018115
