pundamilia_nyererei ENSPNYG00000018178
maylandia_zebra ENSMZEG00005024854
astatotilapia_calliptera ENSACLG00000007388
haplochromis_burtoni ENSHBUG00000018370
neolamprologus_brichardi ENSNBRG00000022175
amphiprion_ocellaris ENSAOCG00000020006
acanthochromis_polyacanthus ENSAPOG00000006962
stegastes_partitus ENSSPAG00000003929
amphiprion_percula ENSAPEG00000006900
amphiprion_ocellaris ENSAOCG00000012895
amphilophus_citrinellus ENSACIG00000012072
kryptolebias_marmoratus ENSKMAG00000006911
poecilia_latipinna ENSPLAG00000017657
poecilia_mexicana ENSPMEG00000014696
gambusia_affinis ENSGAFG00000020805
fundulus_heteroclitus ENSFHEG00000022184
kryptolebias_marmoratus ENSKMAG00000002837
acanthochromis_polyacanthus ENSAPOG00000015505
mastacembelus_armatus ENSMAMG00000016703
monopterus_albus ENSMALG00000008538
seriola_dumerili ENSSDUG00000021462
periophthalmus_magnuspinnatus ENSPMGG00000006575
