electrophorus_electricus ENSEEEG00000020974
ictalurus_punctatus ENSIPUG00000016845
pygocentrus_nattereri ENSPNAG00000024898
danio_rerio ENSDARG00000001244
denticeps_clupeoides ENSDCDG00000029306
anabas_testudineus ENSATEG00000007659
betta_splendens ENSBSLG00000017886
mastacembelus_armatus ENSMAMG00000010305
seriola_dumerili ENSSDUG00000012967
seriola_lalandi ENSSLDG00000012771
lates_calcarifer ENSLCAG00010011840
amphiprion_ocellaris ENSAOCG00000021757
amphiprion_percula ENSAPEG00000018964
acanthochromis_polyacanthus ENSAPOG00000001170
stegastes_partitus ENSSPAG00000009507
parambassis_ranga ENSPRNG00000016388
poecilia_formosa ENSPFOG00000003551
poecilia_formosa ENSPFOG00000022951
poecilia_latipinna ENSPLAG00000006807
poecilia_latipinna ENSPLAG00000002058
poecilia_reticulata ENSPREG00000002652
poecilia_mexicana ENSPMEG00000002603
xiphophorus_maculatus ENSXMAG00000018863
xiphophorus_couchianus ENSXCOG00000011828
oryzias_melastigma ENSOMEG00000014110
oryzias_latipes ENSORLG00015014743
oreochromis_niloticus ENSONIG00000008206
haplochromis_burtoni ENSHBUG00000020364
larimichthys_crocea ENSLCRG00005016826
labrus_bergylta ENSLBEG00000013936
cottoperca_gobio ENSCGOG00000017889
gasterosteus_aculeatus ENSGACG00000007266
tetraodon_nigroviridis ENSTNIG00000016909
takifugu_rubripes ENSTRUG00000002519
cynoglossus_semilaevis ENSCSEG00000000122
hippocampus_comes ENSHCOG00000012829
gadus_morhua ENSGMOG00000019099
hucho_hucho ENSHHUG00000037635
hucho_hucho ENSHHUG00000026821
esox_lucius ENSELUG00000003385
paramormyrops_kingsleyae ENSPKIG00000008252
scleropages_formosus ENSSFOG00015024011
pan_troglodytes ENSPTRG00000049892
pan_paniscus ENSPPAG00000036722
colobus_angolensis ENSCANG00000026444
ochotona_princeps ENSOPRG00000013211
caenorhabditis_elegans WBGene00004706
