papio_anubis ENSPANG00000033046
piliocolobus_tephrosceles ENSPTEG00000000361
ochotona_princeps ENSOPRG00000014094
erinaceus_europaeus ENSEEUG00000009397
callithrix_jacchus ENSCJAG00000054195
tursiops_truncatus ENSTTRG00000013456
felis_catus ENSFCAG00000041358
panthera_pardus ENSPPRG00000014763
oryctolagus_cuniculus ENSOCUG00000024086
loxodonta_africana ENSLAFG00000030143
phascolarctos_cinereus ENSPCIG00000031126
sorex_araneus ENSSARG00000002085
sorex_araneus ENSSARG00000013498
nomascus_leucogenys ENSNLEG00000030581
choloepus_hoffmanni ENSCHOG00000007276
tupaia_belangeri ENSTBEG00000005627
theropithecus_gelada ENSTGEG00000022150
echinops_telfairi ENSETEG00000015314
loxodonta_africana ENSLAFG00000026412
choloepus_hoffmanni ENSCHOG00000010226
notamacropus_eugenii ENSMEUG00000000673
echinops_telfairi ENSETEG00000013102
loxodonta_africana ENSLAFG00000026977
mandrillus_leucophaeus ENSMLEG00000007203
pan_troglodytes ENSPTRG00000044259
dipodomys_ordii ENSDORG00000025297
sorex_araneus ENSSARG00000010387
sorex_araneus ENSSARG00000013413
ovis_aries ENSOARG00000009247
equus_asinus ENSEASG00005004999
equus_asinus ENSEASG00005005105
aotus_nancymaae ENSANAG00000014572
rhinopithecus_roxellana ENSRROG00000009817
otolemur_garnettii ENSOGAG00000026042
loxodonta_africana ENSLAFG00000025532
sorex_araneus ENSSARG00000011368
sorex_araneus ENSSARG00000010399
erinaceus_europaeus ENSEEUG00000006180
cebus_capucinus ENSCCAG00000013789
gorilla_gorilla ENSGGOG00000039888
microcebus_murinus ENSMICG00000047586
prolemur_simus ENSPSMG00000004881
loxodonta_africana ENSLAFG00000032165
echinops_telfairi ENSETEG00000003573
procavia_capensis ENSPCAG00000002599
sorex_araneus ENSSARG00000001066
erinaceus_europaeus ENSEEUG00000002859
equus_asinus ENSEASG00005013118
macaca_fascicularis ENSMFAG00000014433
chlorocebus_sabaeus ENSCSAG00000019091
colobus_angolensis ENSCANG00000004794
otolemur_garnettii ENSOGAG00000008008
pan_paniscus ENSPPAG00000025220
homo_sapiens ENSG00000196866
saimiri_boliviensis ENSSBOG00000014343
propithecus_coquereli ENSPCOG00000004072
sorex_araneus ENSSARG00000003006
sorex_araneus ENSSARG00000013421
echinops_telfairi ENSETEG00000020204
cercocebus_atys ENSCATG00000008805
vombatus_ursinus ENSVURG00010005043
echinops_telfairi ENSETEG00000015858
loxodonta_africana ENSLAFG00000032529
prolemur_simus ENSPSMG00000005108
propithecus_coquereli ENSPCOG00000013909
microcebus_murinus ENSMICG00000047244
otolemur_garnettii ENSOGAG00000007982
carlito_syrichta ENSTSYG00000029007
tupaia_belangeri ENSTBEG00000009339
nannospalax_galili ENSNGAG00000022884
ailuropoda_melanoleuca ENSAMEG00000019642
ovis_aries ENSOARG00000020081
dasypus_novemcinctus ENSDNOG00000013000
phascolarctos_cinereus ENSPCIG00000036717
phascolarctos_cinereus ENSPCIG00000032592
notamacropus_eugenii ENSMEUG00000002223
vombatus_ursinus ENSVURG00010007406
notamacropus_eugenii ENSMEUG00000009839
vombatus_ursinus ENSVURG00010010598
phascolarctos_cinereus ENSPCIG00000033339
sarcophilus_harrisii ENSSHAG00000001920
notamacropus_eugenii ENSMEUG00000001601
sarcophilus_harrisii ENSSHAG00000003665
vombatus_ursinus ENSVURG00010010314
monodelphis_domestica ENSMODG00000049273
prolemur_simus ENSPSMG00000015526
spermophilus_dauricus ENSSDAG00000008973
canis_lupus ENSCAFG00020005861
bos_taurus ENSBTAG00000054548
sorex_araneus ENSSARG00000002102
monodelphis_domestica ENSMODG00000050666
monodelphis_domestica ENSMODG00000045603
phascolarctos_cinereus ENSPCIG00000037166
erinaceus_europaeus ENSEEUG00000000362
equus_caballus ENSECAG00000033031
macaca_nemestrina ENSMNEG00000012534
erinaceus_europaeus ENSEEUG00000007516
bos_indicus ENSBIXG00000013479
bos_indicus ENSBIXG00005011908
bos_mutus ENSBMUG00000000474
bison_bison ENSBBBG00000009657
pan_troglodytes ENSPTRG00000043908
sus_scrofa ENSSSCG00000032609
pogona_vitticeps ENSPVIG00000014921
apteryx_rowi ENSARWG00000006322
apteryx_owenii ENSAOWG00000004841
salvator_merianae ENSSMRG00000019238
salvator_merianae ENSSMRG00000019196
phascolarctos_cinereus ENSPCIG00000036686
vombatus_ursinus ENSVURG00010015906
sphenodon_punctatus ENSSPUG00000010127
