cebus_capucinus ENSCCAG00000036012
saimiri_boliviensis_boliviensis ENSSBOG00000031818
callithrix_jacchus ENSCJAG00000020811
aotus_nancymaae ENSANAG00000030234
pan_troglodytes ENSPTRG00000030595
pan_paniscus ENSPPAG00000029675
gorilla_gorilla ENSGGOG00000002943
homo_sapiens ENSG00000204548
pongo_abelii ENSPPYG00000010882
nomascus_leucogenys ENSNLEG00000009569
macaca_nemestrina ENSMNEG00000033284
macaca_fascicularis ENSMFAG00000002852
theropithecus_gelada ENSTGEG00000008748
papio_anubis ENSPANG00000007164
mandrillus_leucophaeus ENSMLEG00000010787
cercocebus_atys ENSCATG00000030410
chlorocebus_sabaeus ENSCSAG00000012806
rhinopithecus_roxellana ENSRROG00000008065
rhinopithecus_bieti ENSRBIG00000036766
colobus_angolensis_palliatus ENSCANG00000019755
piliocolobus_tephrosceles ENSPTEG00000001973
carlito_syrichta ENSTSYG00000029002
prolemur_simus ENSPSMG00000003295
microcebus_murinus ENSMICG00000014655
propithecus_coquereli ENSPCOG00000008340
tupaia_belangeri ENSTBEG00000010464
ochotona_princeps ENSOPRG00000007677
castor_canadensis ENSCCNG00000018957
equus_asinus_asinus ENSEASG00005003648
equus_caballus ENSECAG00000033373
erinaceus_europaeus ENSEEUG00000009816
myotis_lucifugus ENSMLUG00000011577
vicugna_pacos ENSVPAG00000004067
sus_scrofa ENSSSCG00000028629
bison_bison_bison ENSBBBG00000006927
bos_mutus ENSBMUG00000015316
bos_taurus ENSBTAG00000048949
capra_hircus ENSCHIG00000022051
ursus_americanus ENSUAMG00000023515
ursus_maritimus ENSUMAG00000000932
canis_lupus_familiaris ENSCAFG00000025021
canis_lupus_dingo ENSCAFG00020004172
vulpes_vulpes ENSVVUG00000008360
panthera_pardus ENSPPRG00000024392
panthera_tigris_altaica ENSPTIG00000013352
felis_catus ENSFCAG00000035389
dasypus_novemcinctus ENSDNOG00000011801
choloepus_hoffmanni ENSCHOG00000006738
