pongo_abelii ENSPPYG00000007752
pan_paniscus ENSPPAG00000033572
macaca_mulatta ENSMMUG00000059112
chlorocebus_sabaeus ENSCSAG00000005031
pan_troglodytes ENSPTRG00000049747
pan_paniscus ENSPPAG00000034882
gorilla_gorilla ENSGGOG00000040689
nomascus_leucogenys ENSNLEG00000028940
macaca_nemestrina ENSMNEG00000042908
mandrillus_leucophaeus ENSMLEG00000025875
papio_anubis ENSPANG00000032523
cercocebus_atys ENSCATG00000014985
callithrix_jacchus ENSCJAG00000056068
macaca_mulatta ENSMMUG00000029122
macaca_fascicularis ENSMFAG00000036300
macaca_nemestrina ENSMNEG00000022350
cercocebus_atys ENSCATG00000041966
papio_anubis ENSPANG00000020493
callithrix_jacchus ENSCJAG00000041011
callithrix_jacchus ENSCJAG00000043001
nomascus_leucogenys ENSNLEG00000002261
macaca_nemestrina ENSMNEG00000035530
cebus_capucinus ENSCCAG00000033568
