neovison_vison ENSNVIG00000008363
mustela_putorius ENSMPUG00000020101
ursus_americanus ENSUAMG00000012296
canis_lupus ENSCAFG00020014443
canis_lupus ENSCAFG00000014953
vulpes_vulpes ENSVVUG00000008703
panthera_pardus ENSPPRG00000020116
felis_catus ENSFCAG00000025929
myotis_lucifugus ENSMLUG00000027083
bos_mutus ENSBMUG00000023367
bos_indicus ENSBIXG00005014112
bison_bison ENSBBBG00000001832
equus_caballus ENSECAG00000001490
prolemur_simus ENSPSMG00000020160
otolemur_garnettii ENSOGAG00000032785
callithrix_jacchus ENSCJAG00000068077
loxodonta_africana ENSLAFG00000031746
vombatus_ursinus ENSVURG00010019966
phascolarctos_cinereus ENSPCIG00000012235
notamacropus_eugenii ENSMEUG00000004404
sarcophilus_harrisii ENSSHAG00000012687
monodelphis_domestica ENSMODG00000004101
