vulpes_vulpes ENSVVUG00000013722
canis_lupus_familiaris ENSCAFG00000030077
ailuropoda_melanoleuca ENSAMEG00000004219
mustela_putorius_furo ENSMPUG00000003490
equus_caballus ENSECAG00000037094
sus_scrofa ENSSSCG00000038121
pteropus_vampyrus ENSPVAG00000007736
cebus_capucinus ENSCCAG00000021495
aotus_nancymaae ENSANAG00000032085
mandrillus_leucophaeus ENSMLEG00000036412
piliocolobus_tephrosceles ENSPTEG00000027425
chlorocebus_sabaeus ENSCSAG00000001832
rhinopithecus_roxellana ENSRROG00000035175
pan_paniscus ENSPPAG00000042806
pan_troglodytes ENSPTRG00000046417
prolemur_simus ENSPSMG00000005633
oryctolagus_cuniculus ENSOCUG00000005205
bison_bison_bison ENSBBBG00000013898
bos_mutus ENSBMUG00000024861
dasypus_novemcinctus ENSDNOG00000044093
cricetulus_griseus_chok1gshd ENSCGRG00001017115
cricetulus_griseus_crigri ENSCGRG00000016336
rattus_norvegicus ENSRNOG00000056746
heterocephalus_glaber_male ENSHGLG00100008332
pan_troglodytes ENSPTRG00000049010
loxodonta_africana ENSLAFG00000027202
sarcophilus_harrisii ENSSHAG00000016636
monodelphis_domestica ENSMODG00000028538
notamacropus_eugenii ENSMEUG00000013161
