ursus_americanus ENSUAMG00000006666
ursus_maritimus ENSUMAG00000020327
ailuropoda_melanoleuca ENSAMEG00000017136
mustela_putorius_furo ENSMPUG00000005284
neovison_vison ENSNVIG00000010820
canis_lupus_familiaris ENSCAFG00000020397
canis_lupus_dingo ENSCAFG00020017962
vulpes_vulpes ENSVVUG00000011064
panthera_pardus ENSPPRG00000009161
panthera_tigris_altaica ENSPTIG00000019612
felis_catus ENSFCAG00000012774
equus_asinus_asinus ENSEASG00005010892
equus_caballus ENSECAG00000009969
pteropus_vampyrus ENSPVAG00000000389
myotis_lucifugus ENSMLUG00000013705
bos_mutus ENSBMUG00000004891
bos_taurus ENSBTAG00000009585
bison_bison_bison ENSBBBG00000014712
capra_hircus ENSCHIG00000023982
ovis_aries ENSOARG00000002412
tursiops_truncatus ENSTTRG00000010162
sus_scrofa ENSSSCG00000022721
erinaceus_europaeus ENSEEUG00000004962
sorex_araneus ENSSARG00000011728
pan_troglodytes ENSPTRG00000008205
pan_paniscus ENSPPAG00000043698
homo_sapiens ENSG00000166589
gorilla_gorilla ENSGGOG00000012332
pongo_abelii ENSPPYG00000007431
nomascus_leucogenys ENSNLEG00000004109
theropithecus_gelada ENSTGEG00000004676
papio_anubis ENSPANG00000015586
mandrillus_leucophaeus ENSMLEG00000020550
macaca_mulatta ENSMMUG00000016727
macaca_fascicularis ENSMFAG00000036946
macaca_nemestrina ENSMNEG00000043878
cercocebus_atys ENSCATG00000036211
chlorocebus_sabaeus ENSCSAG00000004614
rhinopithecus_roxellana ENSRROG00000044530
rhinopithecus_bieti ENSRBIG00000035045
piliocolobus_tephrosceles ENSPTEG00000019254
colobus_angolensis_palliatus ENSCANG00000036076
cebus_capucinus ENSCCAG00000028654
callithrix_jacchus ENSCJAG00000016616
aotus_nancymaae ENSANAG00000030845
saimiri_boliviensis_boliviensis ENSSBOG00000000059
carlito_syrichta ENSTSYG00000035577
propithecus_coquereli ENSPCOG00000020556
microcebus_murinus ENSMICG00000013331
prolemur_simus ENSPSMG00000013526
otolemur_garnettii ENSOGAG00000014668
tupaia_belangeri ENSTBEG00000011267
ictidomys_tridecemlineatus ENSSTOG00000029943
ictidomys_tridecemlineatus ENSSTOG00000007823
spermophilus_dauricus ENSSDAG00000015510
urocitellus_parryii ENSUPAG00010021315
marmota_marmota_marmota ENSMMMG00000008458
nannospalax_galili ENSNGAG00000003032
fukomys_damarensis ENSFDAG00000001502
heterocephalus_glaber_male ENSHGLG00100005208
mus_spicilegus ENSMSIG00000023256
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032569
mus_musculus ENSMUSG00000031881
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031452
mus_pahari MGP_PahariEiJ_G0023050
rattus_norvegicus ENSRNOG00000012222
meriones_unguiculatus ENSMUGG00000015062
cricetulus_griseus_chok1gshd ENSCGRG00001014582
cricetulus_griseus_crigri ENSCGRG00000001341
cricetulus_griseus_crigri-picr ENSCGRG00015004277
mesocricetus_auratus ENSMAUG00000000808
peromyscus_maniculatus_bairdii ENSPEMG00000012028
microtus_ochrogaster ENSMOCG00000016245
nannospalax_galili ENSNGAG00000002005
nannospalax_galili ENSNGAG00000008908
jaculus_jaculus ENSJJAG00000017353
castor_canadensis ENSCCNG00000018229
heterocephalus_glaber_female ENSHGLG00000019376
heterocephalus_glaber_male ENSHGLG00100012310
fukomys_damarensis ENSFDAG00000005773
chinchilla_lanigera ENSCLAG00000009522
octodon_degus ENSODEG00000016010
cavia_porcellus ENSCPOG00000021245
cavia_aperea ENSCAPG00000014538
oryctolagus_cuniculus ENSOCUG00000000580
dasypus_novemcinctus ENSDNOG00000040290
loxodonta_africana ENSLAFG00000001834
procavia_capensis ENSPCAG00000013809
phascolarctos_cinereus ENSPCIG00000017511
notamacropus_eugenii ENSMEUG00000014924
sarcophilus_harrisii ENSSHAG00000002695
monodelphis_domestica ENSMODG00000006775
