melopsittacus_undulatus ENSMUNG00000003858
serinus_canaria ENSSCAG00000002197
chelonoidis_abingdonii ENSCABG00000007672
ursus_americanus ENSUAMG00000001497
castor_canadensis ENSCCNG00000023254
pundamilia_nyererei ENSPNYG00000007674
acanthochromis_polyacanthus ENSAPOG00000004801
xiphophorus_couchianus ENSXCOG00000011330
fundulus_heteroclitus ENSFHEG00000019558
xiphophorus_couchianus ENSXCOG00000001084
periophthalmus_magnuspinnatus ENSPMGG00000004519
acanthochromis_polyacanthus ENSAPOG00000022830
