equus_caballus ENSECAG00000019482
equus_asinus_asinus ENSEASG00005022047
pteropus_vampyrus ENSPVAG00000014946
ursus_americanus ENSUAMG00000013200
ursus_maritimus ENSUMAG00000007110
ailuropoda_melanoleuca ENSAMEG00000005360
canis_lupus_familiaris ENSCAFG00000029540
canis_lupus_dingo ENSCAFG00020018214
vulpes_vulpes ENSVVUG00000002833
mustela_putorius_furo ENSMPUG00000006610
neovison_vison ENSNVIG00000005517
panthera_tigris_altaica ENSPTIG00000011725
panthera_pardus ENSPPRG00000004033
felis_catus ENSFCAG00000035295
bos_taurus ENSBTAG00000031352
bos_mutus ENSBMUG00000013275
bison_bison_bison ENSBBBG00000023794
ovis_aries ENSOARG00000013438
capra_hircus ENSCHIG00000021466
sus_scrofa ENSSSCG00000038635
pan_paniscus ENSPPAG00000039331
pan_troglodytes ENSPTRG00000010245
homo_sapiens ENSG00000172006
gorilla_gorilla ENSGGOG00000026098
nomascus_leucogenys ENSNLEG00000027068
papio_anubis ENSPANG00000030445
theropithecus_gelada ENSTGEG00000013471
cercocebus_atys ENSCATG00000044721
mandrillus_leucophaeus ENSMLEG00000032147
macaca_mulatta ENSMMUG00000007269
macaca_fascicularis ENSMFAG00000045795
macaca_nemestrina ENSMNEG00000035698
chlorocebus_sabaeus ENSCSAG00000011470
piliocolobus_tephrosceles ENSPTEG00000023502
colobus_angolensis_palliatus ENSCANG00000010763
rhinopithecus_bieti ENSRBIG00000044669
rhinopithecus_roxellana ENSRROG00000039041
cebus_capucinus ENSCCAG00000031592
saimiri_boliviensis_boliviensis ENSSBOG00000031736
callithrix_jacchus ENSCJAG00000048576
aotus_nancymaae ENSANAG00000033835
carlito_syrichta ENSTSYG00000003033
propithecus_coquereli ENSPCOG00000002531
prolemur_simus ENSPSMG00000009186
microcebus_murinus ENSMICG00000030632
castor_canadensis ENSCCNG00000008834
choloepus_hoffmanni ENSCHOG00000009182
dasypus_novemcinctus ENSDNOG00000014195
procavia_capensis ENSPCAG00000011533
