cricetulus_griseus_crigri ENSCGRG00000016034
cricetulus_griseus_chok1gshd ENSCGRG00001011451
cricetulus_griseus_crigri-picr ENSCGRG00015017937
mesocricetus_auratus ENSMAUG00000015371
peromyscus_maniculatus_bairdii ENSPEMG00000012827
meriones_unguiculatus ENSMUGG00000019886
mus_musculus ENSMUSG00000086322
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026614
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027594
mus_spicilegus ENSMSIG00000002204
mus_pahari MGP_PahariEiJ_G0028947
microtus_ochrogaster ENSMOCG00000013744
nannospalax_galili ENSNGAG00000012993
phascolarctos_cinereus ENSPCIG00000011913
chrysemys_picta_bellii ENSCPBG00000025033
mastacembelus_armatus ENSMAMG00000008326
anabas_testudineus ENSATEG00000008620
pundamilia_nyererei ENSPNYG00000012714
haplochromis_burtoni ENSHBUG00000010307
maylandia_zebra ENSMZEG00005008077
astatotilapia_calliptera ENSACLG00000000824
oryzias_latipes ENSORLG00000030555
mola_mola ENSMMOG00000018474
scophthalmus_maximus ENSSMAG00000002916
ictalurus_punctatus ENSIPUG00000023200
