seriola_lalandi_dorsalis ENSSLDG00000015895
seriola_dumerili ENSSDUG00000023080
scophthalmus_maximus ENSSMAG00000004810
mastacembelus_armatus ENSMAMG00000004582
monopterus_albus ENSMALG00000015836
labrus_bergylta ENSLBEG00000014118
mola_mola ENSMMOG00000011002
gasterosteus_aculeatus ENSGACG00000006832
astatotilapia_calliptera ENSACLG00000006466
maylandia_zebra ENSMZEG00005003963
haplochromis_burtoni ENSHBUG00000022536
pundamilia_nyererei ENSPNYG00000010384
neolamprologus_brichardi ENSNBRG00000011110
oreochromis_niloticus ENSONIG00000021462
amphilophus_citrinellus ENSACIG00000012600
oryzias_latipes ENSORLG00000027275
oryzias_latipes_asm223469v1 ENSORLG00015005753
oryzias_latipes ENSORLG00020001785
oryzias_melastigma ENSOMEG00000002285
amphiprion_percula ENSAPEG00000017228
amphiprion_ocellaris ENSAOCG00000017196
acanthochromis_polyacanthus ENSAPOG00000003829
stegastes_partitus ENSSPAG00000022101
poecilia_latipinna ENSPLAG00000019576
poecilia_formosa ENSPFOG00000019995
poecilia_mexicana ENSPMEG00000005185
poecilia_reticulata ENSPREG00000021651
xiphophorus_couchianus ENSXCOG00000012049
xiphophorus_maculatus ENSXMAG00000019773
gambusia_affinis ENSGAFG00000008641
fundulus_heteroclitus ENSFHEG00000005063
cyprinodon_variegatus ENSCVAG00000003916
kryptolebias_marmoratus ENSKMAG00000020033
anabas_testudineus ENSATEG00000022215
takifugu_rubripes ENSTRUG00000013897
tetraodon_nigroviridis ENSTNIG00000001470
cynoglossus_semilaevis ENSCSEG00000007151
periophthalmus_magnuspinnatus ENSPMGG00000020363
hippocampus_comes ENSHCOG00000016523
esox_lucius ENSELUG00000009722
pygocentrus_nattereri ENSPNAG00000000740
ictalurus_punctatus ENSIPUG00000017844
danio_rerio ENSDARG00000056004
