ursus_americanus ENSUAMG00000012946
vicugna_pacos ENSVPAG00000008500
spermophilus_dauricus ENSSDAG00000003893
peromyscus_maniculatus_bairdii ENSPEMG00000017191
oryctolagus_cuniculus ENSOCUG00000017571
pongo_abelii ENSPPYG00000029557
choloepus_hoffmanni ENSCHOG00000006302
notechis_scutatus ENSNSUG00000008090
salvator_merianae ENSSMRG00000007879
taeniopygia_guttata ENSTGUG00000002695
calidris_pugnax ENSCPUG00000019067
crocodylus_porosus ENSCPRG00005011592
chelonoidis_abingdonii ENSCABG00000016560
tetraodon_nigroviridis ENSTNIG00000002702
