octodon_degus ENSODEG00000011702
chinchilla_lanigera ENSCLAG00000012856
cavia_porcellus ENSCPOG00000032275
cavia_aperea ENSCAPG00000014242
heterocephalus_glaber_female ENSHGLG00000005530
heterocephalus_glaber_male ENSHGLG00100009844
fukomys_damarensis ENSFDAG00000004015
urocitellus_parryii ENSUPAG00010008051
ictidomys_tridecemlineatus ENSSTOG00000008206
marmota_marmota_marmota ENSMMMG00000005178
cricetulus_griseus_crigri ENSCGRG00000005376
cricetulus_griseus_chok1gshd ENSCGRG00001016484
cricetulus_griseus_crigri-picr ENSCGRG00015016113
mesocricetus_auratus ENSMAUG00000018499
microtus_ochrogaster ENSMOCG00000019962
mus_musculus ENSMUSG00000007812
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029017
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028016
mus_pahari MGP_PahariEiJ_G0024585
rattus_norvegicus ENSRNOG00000060129
rattus_norvegicus ENSRNOG00000046761
nannospalax_galili ENSNGAG00000008217
jaculus_jaculus ENSJJAG00000023740
castor_canadensis ENSCCNG00000011471
oryctolagus_cuniculus ENSOCUG00000007932
ochotona_princeps ENSOPRG00000013459
pan_paniscus ENSPPAG00000041610
pan_troglodytes ENSPTRG00000048790
homo_sapiens ENSG00000197343
gorilla_gorilla ENSGGOG00000002488
nomascus_leucogenys ENSNLEG00000030892
rhinopithecus_roxellana ENSRROG00000044389
rhinopithecus_bieti ENSRBIG00000040289
colobus_angolensis_palliatus ENSCANG00000028478
piliocolobus_tephrosceles ENSPTEG00000018844
mandrillus_leucophaeus ENSMLEG00000041871
cercocebus_atys ENSCATG00000041092
theropithecus_gelada ENSTGEG00000012305
macaca_nemestrina ENSMNEG00000032786
macaca_fascicularis ENSMFAG00000037712
papio_anubis ENSPANG00000018842
chlorocebus_sabaeus ENSCSAG00000017804
pan_paniscus ENSPPAG00000033611
pan_troglodytes ENSPTRG00000047119
gorilla_gorilla ENSGGOG00000037468
nomascus_leucogenys ENSNLEG00000033587
mandrillus_leucophaeus ENSMLEG00000032398
cercocebus_atys ENSCATG00000043335
macaca_mulatta ENSMMUG00000040393
macaca_nemestrina ENSMNEG00000031471
papio_anubis ENSPANG00000030419
rhinopithecus_roxellana ENSRROG00000043206
saimiri_boliviensis_boliviensis ENSSBOG00000023361
cebus_capucinus ENSCCAG00000022358
callithrix_jacchus ENSCJAG00000032195
aotus_nancymaae ENSANAG00000029025
carlito_syrichta ENSTSYG00000002676
propithecus_coquereli ENSPCOG00000017676
microcebus_murinus ENSMICG00000006010
prolemur_simus ENSPSMG00000004861
otolemur_garnettii ENSOGAG00000009915
tupaia_belangeri ENSTBEG00000014153
ursus_americanus ENSUAMG00000004032
ailuropoda_melanoleuca ENSAMEG00000006210
neovison_vison ENSNVIG00000008181
canis_lupus_familiaris ENSCAFG00000031787
vulpes_vulpes ENSVVUG00000008738
panthera_pardus ENSPPRG00000023556
panthera_tigris_altaica ENSPTIG00000015445
felis_catus ENSFCAG00000024492
equus_asinus_asinus ENSEASG00005007744
equus_caballus ENSECAG00000019599
pteropus_vampyrus ENSPVAG00000009004
erinaceus_europaeus ENSEEUG00000011144
vicugna_pacos ENSVPAG00000004110
sus_scrofa ENSSSCG00000007617
capra_hircus ENSCHIG00000025621
ovis_aries ENSOARG00000018518
bos_taurus ENSBTAG00000030951
bos_mutus ENSBMUG00000023339
bison_bison_bison ENSBBBG00000010475
tursiops_truncatus ENSTTRG00000002446
choloepus_hoffmanni ENSCHOG00000007402
procavia_capensis ENSPCAG00000014685
