hippocampus_comes ENSHCOG00000004171
paramormyrops_kingsleyae ENSPKIG00000022389
ornithorhynchus_anatinus ENSOANG00000031437
ornithorhynchus_anatinus ENSOANG00000022337
gasterosteus_aculeatus ENSGACG00000001102
labrus_bergylta ENSLBEG00000010166
scophthalmus_maximus ENSSMAG00000008733
xiphophorus_maculatus ENSXMAG00000017404
xiphophorus_couchianus ENSXCOG00000011728
gambusia_affinis ENSGAFG00000005076
poecilia_mexicana ENSPMEG00000013324
poecilia_formosa ENSPFOG00000017642
poecilia_latipinna ENSPLAG00000014498
poecilia_reticulata ENSPREG00000007527
fundulus_heteroclitus ENSFHEG00000010958
cyprinodon_variegatus ENSCVAG00000004500
kryptolebias_marmoratus ENSKMAG00000015057
oryzias_latipes ENSORLG00000017071
oryzias_latipes ENSORLG00020006796
oryzias_latipes_asm223469v1 ENSORLG00015006413
oryzias_melastigma ENSOMEG00000023674
mastacembelus_armatus ENSMAMG00000017986
monopterus_albus ENSMALG00000001101
anabas_testudineus ENSATEG00000021820
seriola_dumerili ENSSDUG00000017622
seriola_lalandi_dorsalis ENSSLDG00000016593
maylandia_zebra ENSMZEG00005021629
astatotilapia_calliptera ENSACLG00000013149
haplochromis_burtoni ENSHBUG00000004659
pundamilia_nyererei ENSPNYG00000016754
neolamprologus_brichardi ENSNBRG00000013120
oreochromis_niloticus ENSONIG00000017957
amphilophus_citrinellus ENSACIG00000005700
amphiprion_ocellaris ENSAOCG00000014285
amphiprion_percula ENSAPEG00000018647
acanthochromis_polyacanthus ENSAPOG00000022028
stegastes_partitus ENSSPAG00000017953
tetraodon_nigroviridis ENSTNIG00000006479
tetraodon_nigroviridis ENSTNIG00000002306
takifugu_rubripes ENSTRUG00000009219
mola_mola ENSMMOG00000006667
cynoglossus_semilaevis ENSCSEG00000003388
periophthalmus_magnuspinnatus ENSPMGG00000014642
periophthalmus_magnuspinnatus ENSPMGG00000014644
xenopus_tropicalis ENSXETG00000000896
ornithorhynchus_anatinus ENSOANG00000030134
ornithorhynchus_anatinus ENSOANG00000028593
coturnix_japonica ENSCJPG00005003226
meleagris_gallopavo ENSMGAG00000013655
gallus_gallus ENSGALG00000013244
numida_meleagris ENSNMEG00000011136
anas_platyrhynchos_platyrhynchos ENSAPLG00000016445
anser_brachyrhynchus ENSABRG00000019405
calidris_pugnax ENSCPUG00000008403
calidris_pygmaea ENSCPGG00000008028
zonotrichia_albicollis ENSZALG00000003632
taeniopygia_guttata ENSTGUG00000015739
taeniopygia_guttata ENSTGUG00000012068
taeniopygia_guttata ENSTGUG00000016788
lonchura_striata_domestica ENSLSDG00000014597
serinus_canaria ENSSCAG00000008765
cyanistes_caeruleus ENSCCEG00000019265
junco_hyemalis ENSJHYG00000009973
ficedula_albicollis ENSFALG00000003583
parus_major ENSPMJG00000013107
cyanistes_caeruleus ENSCCEG00000019266
lepidothrix_coronata ENSLCOG00000010673
