vicugna_pacos ENSVPAG00000006493
pteropus_vampyrus ENSPVAG00000006365
sorex_araneus ENSSARG00000012170
pan_troglodytes ENSPTRG00000029916
pan_paniscus ENSPPAG00000025851
gorilla_gorilla ENSGGOG00000038101
pongo_abelii ENSPPYG00000002179
nomascus_leucogenys ENSNLEG00000031639
macaca_fascicularis ENSMFAG00000038389
macaca_nemestrina ENSMNEG00000040949
cercocebus_atys ENSCATG00000039376
papio_anubis ENSPANG00000022983
mandrillus_leucophaeus ENSMLEG00000031493
chlorocebus_sabaeus ENSCSAG00000011695
rhinopithecus_bieti ENSRBIG00000038687
rhinopithecus_roxellana ENSRROG00000030299
colobus_angolensis_palliatus ENSCANG00000005176
saimiri_boliviensis_boliviensis ENSSBOG00000034682
callithrix_jacchus ENSCJAG00000037212
aotus_nancymaae ENSANAG00000023864
cebus_capucinus ENSCCAG00000021375
choloepus_hoffmanni ENSCHOG00000006357
