vicugna_pacos ENSVPAG00000006360
sus_scrofa ENSSSCG00000010438
tursiops_truncatus ENSTTRG00000016307
ovis_aries ENSOARG00000014098
capra_hircus ENSCHIG00000020310
capra_hircus ENSCHIG00000017243
bos_indicus ENSBIXG00005023232
bos_indicus ENSBIXG00000001388
bos_taurus ENSBTAG00000000806
bos_mutus ENSBMUG00000006485
bison_bison ENSBBBG00000012651
sorex_araneus ENSSARG00000013965
erinaceus_europaeus ENSEEUG00000006926
ursus_maritimus ENSUMAG00000012300
ailuropoda_melanoleuca ENSAMEG00000000672
mustela_putorius ENSMPUG00000016993
neovison_vison ENSNVIG00000023972
canis_lupus ENSCAFG00020026105
canis_lupus ENSCAFG00000015667
vulpes_vulpes ENSVVUG00000001557
panthera_tigris ENSPTIG00000015993
panthera_pardus ENSPPRG00000013082
felis_catus ENSFCAG00000013167
equus_asinus ENSEASG00005012394
equus_caballus ENSECAG00000000473
myotis_lucifugus ENSMLUG00000002793
chinchilla_lanigera ENSCLAG00000012023
octodon_degus ENSODEG00000005551
cavia_porcellus ENSCPOG00000034539
cavia_aperea ENSCAPG00000006784
fukomys_damarensis ENSFDAG00000005557
fukomys_damarensis ENSFDAG00000005451
heterocephalus_glaber ENSHGLG00100004905
heterocephalus_glaber ENSHGLG00000007685
ictidomys_tridecemlineatus ENSSTOG00000006563
spermophilus_dauricus ENSSDAG00000002391
urocitellus_parryii ENSUPAG00010021405
marmota_marmota ENSMMMG00000018512
mesocricetus_auratus ENSMAUG00000007578
mesocricetus_auratus ENSMAUG00000018121
cricetulus_griseus ENSCGRG00015021467
cricetulus_griseus ENSCGRG00001009686
cricetulus_griseus ENSCGRG00000001215
peromyscus_maniculatus ENSPEMG00000022621
microtus_ochrogaster ENSMOCG00000013771
mus_spicilegus ENSMSIG00000026090
mus_musculus ENSMUSG00000013662
mus_spretus MGP_SPRETEiJ_G0023797
mus_caroli MGP_CAROLIEiJ_G0022878
mus_pahari MGP_PahariEiJ_G0014371
jaculus_jaculus ENSJJAG00000008539
dipodomys_ordii ENSDORG00000004456
oryctolagus_cuniculus ENSOCUG00000012082
pan_paniscus ENSPPAG00000043577
pan_troglodytes ENSPTRG00000002717
gorilla_gorilla ENSGGOG00000026651
homo_sapiens ENSG00000138138
nomascus_leucogenys ENSNLEG00000012135
pongo_abelii ENSPPYG00000002449
gorilla_gorilla ENSGGOG00000009010
pan_paniscus ENSPPAG00000032374
colobus_angolensis ENSCANG00000039846
rhinopithecus_bieti ENSRBIG00000009164
cercocebus_atys ENSCATG00000037045
mandrillus_leucophaeus ENSMLEG00000042298
macaca_fascicularis ENSMFAG00000036198
macaca_nemestrina ENSMNEG00000043133
macaca_mulatta ENSMMUG00000006414
mandrillus_leucophaeus ENSMLEG00000038553
cercocebus_atys ENSCATG00000008106
mandrillus_leucophaeus ENSMLEG00000010804
macaca_fascicularis ENSMFAG00000033944
macaca_nemestrina ENSMNEG00000029738
theropithecus_gelada ENSTGEG00000006649
papio_anubis ENSPANG00000021894
rhinopithecus_roxellana ENSRROG00000029977
rhinopithecus_bieti ENSRBIG00000037081
piliocolobus_tephrosceles ENSPTEG00000037736
colobus_angolensis ENSCANG00000035160
saimiri_boliviensis ENSSBOG00000032004
saimiri_boliviensis ENSSBOG00000030359
cebus_capucinus ENSCCAG00000026620
callithrix_jacchus ENSCJAG00000005296
aotus_nancymaae ENSANAG00000029977
carlito_syrichta ENSTSYG00000000437
microcebus_murinus ENSMICG00000003338
prolemur_simus ENSPSMG00000002964
propithecus_coquereli ENSPCOG00000028448
otolemur_garnettii ENSOGAG00000029770
dasypus_novemcinctus ENSDNOG00000000925
meriones_unguiculatus ENSMUGG00000009665
procavia_capensis ENSPCAG00000001995
echinops_telfairi ENSETEG00000007992
loxodonta_africana ENSLAFG00000001365
phascolarctos_cinereus ENSPCIG00000004579
vombatus_ursinus ENSVURG00010003960
sarcophilus_harrisii ENSSHAG00000005701
monodelphis_domestica ENSMODG00000016503
ornithorhynchus_anatinus ENSOANG00000008207
pogona_vitticeps ENSPVIG00000002161
anolis_carolinensis ENSACAG00000015140
salvator_merianae ENSSMRG00000012867
notechis_scutatus ENSNSUG00000008785
sphenodon_punctatus ENSSPUG00000018776
apteryx_haastii ENSAHAG00000013625
apteryx_owenii ENSAOWG00000016975
apteryx_rowi ENSARWG00000013555
dromaius_novaehollandiae ENSDNVG00000013768
calidris_pygmaea ENSCPGG00000007061
calidris_pugnax ENSCPUG00000002084
melopsittacus_undulatus ENSMUNG00000011826
anser_brachyrhynchus ENSABRG00000019946
anas_platyrhynchos ENSAPLG00000001653
gallus_gallus ENSGALG00000003652
meleagris_gallopavo ENSMGAG00000001567
coturnix_japonica ENSCJPG00005012952
numida_meleagris ENSNMEG00000003188
manacus_vitellinus ENSMVIG00005006627
lepidothrix_coronata ENSLCOG00000011957
taeniopygia_guttata ENSTGUG00000005005
lonchura_striata ENSLSDG00000010895
ficedula_albicollis ENSFALG00000013110
parus_major ENSPMJG00000015382
cyanistes_caeruleus ENSCCEG00000019886
serinus_canaria ENSSCAG00000003991
junco_hyemalis ENSJHYG00000014600
zonotrichia_albicollis ENSZALG00000004688
nothoprocta_perdicaria ENSNPEG00000010016
crocodylus_porosus ENSCPRG00005009979
gopherus_agassizii ENSGAGG00000022033
chelonoidis_abingdonii ENSCABG00000018213
chrysemys_picta ENSCPBG00000026471
pelodiscus_sinensis ENSPSIG00000008883
xenopus_tropicalis ENSXETG00000011076
latimeria_chalumnae ENSLACG00000007321
gouania_willdenowi ENSGWIG00000018220
hippocampus_comes ENSHCOG00000005047
fundulus_heteroclitus ENSFHEG00000019807
cyprinodon_variegatus ENSCVAG00000004091
poecilia_formosa ENSPFOG00000000491
poecilia_mexicana ENSPMEG00000005774
poecilia_latipinna ENSPLAG00000006599
poecilia_reticulata ENSPREG00000001715
xiphophorus_maculatus ENSXMAG00000014445
gambusia_affinis ENSGAFG00000001397
tetraodon_nigroviridis ENSTNIG00000003809
tetraodon_nigroviridis ENSTNIG00000005985
