monopterus_albus ENSMALG00000022288
scophthalmus_maximus ENSSMAG00000017427
mastacembelus_armatus ENSMAMG00000013921
anabas_testudineus ENSATEG00000001930
seriola_lalandi_dorsalis ENSSLDG00000015333
seriola_dumerili ENSSDUG00000000649
xiphophorus_maculatus ENSXMAG00000006246
xiphophorus_couchianus ENSXCOG00000003734
gambusia_affinis ENSGAFG00000014857
poecilia_latipinna ENSPLAG00000004958
poecilia_mexicana ENSPMEG00000003115
poecilia_formosa ENSPFOG00000000657
poecilia_reticulata ENSPREG00000009822
fundulus_heteroclitus ENSFHEG00000007370
cyprinodon_variegatus ENSCVAG00000004780
cyprinodon_variegatus ENSCVAG00000017949
kryptolebias_marmoratus ENSKMAG00000009374
oryzias_latipes ENSORLG00000012712
oryzias_latipes_asm223469v1 ENSORLG00015001819
oryzias_latipes ENSORLG00020003341
oryzias_melastigma ENSOMEG00000014211
astatotilapia_calliptera ENSACLG00000023960
maylandia_zebra ENSMZEG00005017044
haplochromis_burtoni ENSHBUG00000022769
pundamilia_nyererei ENSPNYG00000023783
neolamprologus_brichardi ENSNBRG00000022711
oreochromis_niloticus ENSONIG00000006398
amphilophus_citrinellus ENSACIG00000011331
amphiprion_ocellaris ENSAOCG00000014554
amphiprion_percula ENSAPEG00000017482
acanthochromis_polyacanthus ENSAPOG00000008760
stegastes_partitus ENSSPAG00000016600
takifugu_rubripes ENSTRUG00000002946
tetraodon_nigroviridis ENSTNIG00000008222
mola_mola ENSMMOG00000016629
labrus_bergylta ENSLBEG00000024781
gasterosteus_aculeatus ENSGACG00000004966
hippocampus_comes ENSHCOG00000008786
hippocampus_comes ENSHCOG00000000521
periophthalmus_magnuspinnatus ENSPMGG00000001663
gadus_morhua ENSGMOG00000016994
esox_lucius ENSELUG00000001984
pygocentrus_nattereri ENSPNAG00000007121
astyanax_mexicanus ENSAMXG00000006093
ictalurus_punctatus ENSIPUG00000023741
danio_rerio ENSDARG00000055374
pygocentrus_nattereri ENSPNAG00000007815
astyanax_mexicanus ENSAMXG00000012775
ictalurus_punctatus ENSIPUG00000007212
