erpetoichthys_calabaricus ENSECRG00000000060
eptatretus_burgeri ENSEBUG00000007333
clupea_harengus ENSCHAG00000004584
denticeps_clupeoides ENSDCDG00000020703
astyanax_mexicanus ENSAMXG00000030198
astyanax_mexicanus ENSAMXG00005021376
pygocentrus_nattereri ENSPNAG00000005859
electrophorus_electricus ENSEEEG00000015160
ictalurus_punctatus ENSIPUG00000001127
danio_rerio ENSDARG00000040443
hucho_hucho ENSHHUG00000006889
hucho_hucho ENSHHUG00000002435
esox_lucius ENSELUG00000018012
larimichthys_crocea ENSLCRG00005009916
mola_mola ENSMMOG00000004945
cottoperca_gobio ENSCGOG00000015751
gasterosteus_aculeatus ENSGACG00000006679
labrus_bergylta ENSLBEG00000001220
hippocampus_comes ENSHCOG00000010967
periophthalmus_magnuspinnatus ENSPMGG00000016154
anabas_testudineus ENSATEG00000000758
betta_splendens ENSBSLG00000003807
mastacembelus_armatus ENSMAMG00000013970
seriola_dumerili ENSSDUG00000005483
seriola_lalandi ENSSLDG00000009341
lates_calcarifer ENSLCAG00010026597
takifugu_rubripes ENSTRUG00000022235
tetraodon_nigroviridis ENSTNIG00000011737
cynoglossus_semilaevis ENSCSEG00000002213
amphiprion_ocellaris ENSAOCG00000024378
amphiprion_percula ENSAPEG00000021748
acanthochromis_polyacanthus ENSAPOG00000012409
stegastes_partitus ENSSPAG00000015734
parambassis_ranga ENSPRNG00000025368
pundamilia_nyererei ENSPNYG00000011908
haplochromis_burtoni ENSHBUG00000004140
maylandia_zebra ENSMZEG00005013082
astatotilapia_calliptera ENSACLG00000001663
oreochromis_niloticus ENSONIG00000005397
neolamprologus_brichardi ENSNBRG00000000723
amphilophus_citrinellus ENSACIG00000022652
xiphophorus_maculatus ENSXMAG00000021278
xiphophorus_couchianus ENSXCOG00000001119
gambusia_affinis ENSGAFG00000001037
poecilia_formosa ENSPFOG00000016816
poecilia_latipinna ENSPLAG00000010639
poecilia_mexicana ENSPMEG00000005956
poecilia_reticulata ENSPREG00000004227
cyprinodon_variegatus ENSCVAG00000014797
fundulus_heteroclitus ENSFHEG00000015659
kryptolebias_marmoratus ENSKMAG00000001567
oryzias_latipes ENSORLG00020011281
oryzias_latipes ENSORLG00015019529
oryzias_latipes ENSORLG00000013308
gouania_willdenowi ENSGWIG00000007449
scophthalmus_maximus ENSSMAG00000003335
oryzias_melastigma ENSOMEG00000012586
labrus_bergylta ENSLBEG00000028538
gadus_morhua ENSGMOG00000013806
xenopus_tropicalis ENSXETG00000018767
scleropages_formosus ENSSFOG00015022523
paramormyrops_kingsleyae ENSPKIG00000001086
lepisosteus_oculatus ENSLOCG00000014818
notechis_scutatus ENSNSUG00000010494
salvator_merianae ENSSMRG00000015344
meleagris_gallopavo ENSMGAG00000008576
gallus_gallus ENSGALG00000038595
coturnix_japonica ENSCJPG00005014549
numida_meleagris ENSNMEG00000014143
gopherus_agassizii ENSGAGG00000015806
chelonoidis_abingdonii ENSCABG00000007746
chrysemys_picta ENSCPBG00000006726
pelodiscus_sinensis ENSPSIG00000011560
sphenodon_punctatus ENSSPUG00000012658
vombatus_ursinus ENSVURG00010023559
monodelphis_domestica ENSMODG00000014172
latimeria_chalumnae ENSLACG00000009590
microcebus_murinus ENSMICG00000010241
prolemur_simus ENSPSMG00000001637
propithecus_coquereli ENSPCOG00000018643
pan_troglodytes ENSPTRG00000010885
pan_paniscus ENSPPAG00000033446
homo_sapiens ENSG00000105258
gorilla_gorilla ENSGGOG00000015426
pongo_abelii ENSPPYG00000009897
nomascus_leucogenys ENSNLEG00000011691
rhinopithecus_roxellana ENSRROG00000042843
rhinopithecus_bieti ENSRBIG00000037225
piliocolobus_tephrosceles ENSPTEG00000010976
theropithecus_gelada ENSTGEG00000018402
theropithecus_gelada ENSTGEG00000015483
theropithecus_gelada ENSTGEG00000013426
papio_anubis ENSPANG00000004508
cercocebus_atys ENSCATG00000017413
mandrillus_leucophaeus ENSMLEG00000039720
macaca_mulatta ENSMMUG00000000522
macaca_fascicularis ENSMFAG00000039443
macaca_nemestrina ENSMNEG00000029421
chlorocebus_sabaeus ENSCSAG00000004254
cebus_capucinus ENSCCAG00000022138
cebus_capucinus ENSCCAG00000032214
callithrix_jacchus ENSCJAG00000009671
saimiri_boliviensis ENSSBOG00000030799
saimiri_boliviensis ENSSBOG00000022998
aotus_nancymaae ENSANAG00000035318
mus_spretus MGP_SPRETEiJ_G0030603
mus_musculus ENSMUSG00000019738
mus_caroli MGP_CAROLIEiJ_G0029507
mus_pahari MGP_PahariEiJ_G0012741
rattus_norvegicus ENSRNOG00000020799
rattus_norvegicus ENSRNOG00000050560
meriones_unguiculatus ENSMUGG00000012283
microtus_ochrogaster ENSMOCG00000011984
mesocricetus_auratus ENSMAUG00000001001
peromyscus_maniculatus ENSPEMG00000014212
nannospalax_galili ENSNGAG00000014966
jaculus_jaculus ENSJJAG00000014400
dipodomys_ordii ENSDORG00000028728
dipodomys_ordii ENSDORG00000029259
dipodomys_ordii ENSDORG00000028026
dipodomys_ordii ENSDORG00000001852
castor_canadensis ENSCCNG00000009224
octodon_degus ENSODEG00000015015
octodon_degus ENSODEG00000017901
chinchilla_lanigera ENSCLAG00000011800
cavia_porcellus ENSCPOG00000012097
heterocephalus_glaber ENSHGLG00100014515
heterocephalus_glaber ENSHGLG00000007388
fukomys_damarensis ENSFDAG00000011350
urocitellus_parryii ENSUPAG00010014217
ictidomys_tridecemlineatus ENSSTOG00000009411
spermophilus_dauricus ENSSDAG00000009882
marmota_marmota ENSMMMG00000004579
ochotona_princeps ENSOPRG00000001789
ochotona_princeps ENSOPRG00000008681
otolemur_garnettii ENSOGAG00000024254
cricetulus_griseus ENSCGRG00001016173
cavia_aperea ENSCAPG00000011296
carlito_syrichta ENSTSYG00000031752
myotis_lucifugus ENSMLUG00000012317
