pan_paniscus ENSPPAG00000001985
pan_troglodytes ENSPTRG00000021794
homo_sapiens ENSG00000187516
pongo_abelii ENSPPYG00000020242
theropithecus_gelada ENSTGEG00000010876
chlorocebus_sabaeus ENSCSAG00000000208
piliocolobus_tephrosceles ENSPTEG00000023709
rhinopithecus_bieti ENSRBIG00000035187
callithrix_jacchus ENSCJAG00000022337
otolemur_garnettii ENSOGAG00000026644
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034079
mus_spicilegus ENSMSIG00000018972
mus_musculus ENSMUSG00000040456
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032927
mus_pahari MGP_PahariEiJ_G0031474
rattus_norvegicus ENSRNOG00000021452
meriones_unguiculatus ENSMUGG00000003135
cricetulus_griseus_chok1gshd ENSCGRG00001003645
cricetulus_griseus_crigri-picr ENSCGRG00015006285
cricetulus_griseus_crigri ENSCGRG00000019102
peromyscus_maniculatus_bairdii ENSPEMG00000025123
heterocephalus_glaber_male ENSHGLG00100002108
ursus_americanus ENSUAMG00000024636
ursus_maritimus ENSUMAG00000017429
ailuropoda_melanoleuca ENSAMEG00000019688
canis_lupus_dingo ENSCAFG00020008475
dasypus_novemcinctus ENSDNOG00000008542
