myotis_lucifugus ENSMLUG00000022865
pteropus_vampyrus ENSPVAG00000014085
bos_mutus ENSBMUG00000012531
bos_taurus ENSBTAG00000004675
bison_bison_bison ENSBBBG00000002902
ovis_aries ENSOARG00000015321
capra_hircus ENSCHIG00000012011
vicugna_pacos ENSVPAG00000007132
tursiops_truncatus ENSTTRG00000012317
sus_scrofa ENSSSCG00000018014
ursus_americanus ENSUAMG00000000057
ursus_americanus ENSUAMG00000001973
ursus_maritimus ENSUMAG00000021290
ailuropoda_melanoleuca ENSAMEG00000013156
mustela_putorius_furo ENSMPUG00000003670
neovison_vison ENSNVIG00000008976
canis_lupus_dingo ENSCAFG00020001141
canis_lupus_familiaris ENSCAFG00000017843
vulpes_vulpes ENSVVUG00000029880
panthera_pardus ENSPPRG00000010269
panthera_tigris_altaica ENSPTIG00000017501
felis_catus ENSFCAG00000027934
equus_asinus_asinus ENSEASG00005016826
equus_caballus ENSECAG00000025164
erinaceus_europaeus ENSEEUG00000011943
sorex_araneus ENSSARG00000003073
castor_canadensis ENSCCNG00000007002
dipodomys_ordii ENSDORG00000012359
mus_musculus ENSMUSG00000018347
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017351
mus_spicilegus ENSMSIG00000019408
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016514
mus_pahari MGP_PahariEiJ_G0017643
rattus_norvegicus ENSRNOG00000003981
meriones_unguiculatus ENSMUGG00000010961
microtus_ochrogaster ENSMOCG00000013138
peromyscus_maniculatus_bairdii ENSPEMG00000016217
cricetulus_griseus_crigri-picr ENSCGRG00015013790
cricetulus_griseus_crigri ENSCGRG00000017990
cricetulus_griseus_chok1gshd ENSCGRG00001019508
mesocricetus_auratus ENSMAUG00000019459
nannospalax_galili ENSNGAG00000011319
jaculus_jaculus ENSJJAG00000022707
heterocephalus_glaber_female ENSHGLG00000010795
heterocephalus_glaber_male ENSHGLG00100011915
fukomys_damarensis ENSFDAG00000011671
chinchilla_lanigera ENSCLAG00000008591
octodon_degus ENSODEG00000001293
cavia_porcellus ENSCPOG00000035229
cavia_aperea ENSCAPG00000012149
urocitellus_parryii ENSUPAG00010017682
ictidomys_tridecemlineatus ENSSTOG00000012652
spermophilus_dauricus ENSSDAG00000024494
marmota_marmota_marmota ENSMMMG00000021202
oryctolagus_cuniculus ENSOCUG00000010095
ochotona_princeps ENSOPRG00000011305
pan_troglodytes ENSPTRG00000008782
pan_paniscus ENSPPAG00000030735
gorilla_gorilla ENSGGOG00000005431
homo_sapiens ENSG00000154957
pongo_abelii ENSPPYG00000007992
nomascus_leucogenys ENSNLEG00000014526
mandrillus_leucophaeus ENSMLEG00000032627
theropithecus_gelada ENSTGEG00000027840
cercocebus_atys ENSCATG00000043364
macaca_mulatta ENSMMUG00000018541
macaca_fascicularis ENSMFAG00000035864
macaca_nemestrina ENSMNEG00000039996
papio_anubis ENSPANG00000023768
chlorocebus_sabaeus ENSCSAG00000009126
piliocolobus_tephrosceles ENSPTEG00000037070
colobus_angolensis_palliatus ENSCANG00000010358
rhinopithecus_bieti ENSRBIG00000043829
rhinopithecus_roxellana ENSRROG00000006588
callithrix_jacchus ENSCJAG00000045900
saimiri_boliviensis_boliviensis ENSSBOG00000027370
cebus_capucinus ENSCCAG00000023156
aotus_nancymaae ENSANAG00000025684
carlito_syrichta ENSTSYG00000006855
propithecus_coquereli ENSPCOG00000024281
prolemur_simus ENSPSMG00000017063
microcebus_murinus ENSMICG00000016196
otolemur_garnettii ENSOGAG00000027830
tupaia_belangeri ENSTBEG00000007103
loxodonta_africana ENSLAFG00000032539
loxodonta_africana ENSLAFG00000032409
loxodonta_africana ENSLAFG00000009028
procavia_capensis ENSPCAG00000002958
echinops_telfairi ENSETEG00000000611
dasypus_novemcinctus ENSDNOG00000036895
choloepus_hoffmanni ENSCHOG00000001767
phascolarctos_cinereus ENSPCIG00000028789
sarcophilus_harrisii ENSSHAG00000004742
monodelphis_domestica ENSMODG00000000157
