pundamilia_nyererei ENSPNYG00000007522
oreochromis_niloticus ENSONIG00000008710
amphiprion_ocellaris ENSAOCG00000018467
anabas_testudineus ENSATEG00000016102
monopterus_albus ENSMALG00000008936
oryzias_latipes ENSORLG00000017400
hippocampus_comes ENSHCOG00000010505
esox_lucius ENSELUG00000009623
monodelphis_domestica ENSMODG00000029735
ciona_savignyi ENSCSAVG00000000839
ciona_intestinalis ENSCING00000007265
drosophila_melanogaster FBgn0034118
caenorhabditis_elegans_strain_n2 WBGene00003797
saccharomyces_cerevisiae YJL041W
