amphiprion_ocellaris ENSAOCG00000017767
stegastes_partitus ENSSPAG00000005768
xiphophorus_couchianus ENSXCOG00000000619
xiphophorus_maculatus ENSXMAG00000027696
gambusia_affinis ENSGAFG00000008812
poecilia_formosa ENSPFOG00000023115
poecilia_mexicana ENSPMEG00000023102
poecilia_latipinna ENSPLAG00000015939
fundulus_heteroclitus ENSFHEG00000021924
oryzias_latipes ENSORLG00020001196
gouania_willdenowi ENSGWIG00000025140
cottoperca_gobio ENSCGOG00000024567
gasterosteus_aculeatus ENSGACG00000005829
takifugu_rubripes ENSTRUG00000024709
labrus_bergylta ENSLBEG00000021305
seriola_lalandi ENSSLDG00000006227
lates_calcarifer ENSLCAG00010024518
cynoglossus_semilaevis ENSCSEG00000011130
anabas_testudineus ENSATEG00000019108
