apteryx_haastii ENSAHAG00000015936
apteryx_owenii ENSAOWG00000015164
apteryx_rowi ENSARWG00000016965
dromaius_novaehollandiae ENSDNVG00000000393
nothoprocta_perdicaria ENSNPEG00000007280
anser_brachyrhynchus ENSABRG00000005337
anas_platyrhynchos_platyrhynchos ENSAPLG00000004726
gallus_gallus ENSGALG00000012799
coturnix_japonica ENSCJPG00005016991
meleagris_gallopavo ENSMGAG00000003910
numida_meleagris ENSNMEG00000002235
lepidothrix_coronata ENSLCOG00000003990
manacus_vitellinus ENSMVIG00005014442
junco_hyemalis ENSJHYG00000016164
zonotrichia_albicollis ENSZALG00000014557
serinus_canaria ENSSCAG00000001855
lonchura_striata_domestica ENSLSDG00000001894
taeniopygia_guttata ENSTGUG00000002309
cyanistes_caeruleus ENSCCEG00000015410
parus_major ENSPMJG00000018339
ficedula_albicollis ENSFALG00000013231
melopsittacus_undulatus ENSMUNG00000009439
calidris_pygmaea ENSCPGG00000009208
calidris_pugnax ENSCPUG00000002023
crocodylus_porosus ENSCPRG00005001486
chelonoidis_abingdonii ENSCABG00000018218
gopherus_agassizii ENSGAGG00000002213
chrysemys_picta_bellii ENSCPBG00000008709
pelodiscus_sinensis ENSPSIG00000006582
pogona_vitticeps ENSPVIG00000022516
anolis_carolinensis ENSACAG00000000520
notechis_scutatus ENSNSUG00000005568
salvator_merianae ENSSMRG00000006781
sphenodon_punctatus ENSSPUG00000007686
ornithorhynchus_anatinus ENSOANG00000032215
ornithorhynchus_anatinus ENSOANG00000028677
phascolarctos_cinereus ENSPCIG00000012644
notamacropus_eugenii ENSMEUG00000015377
sarcophilus_harrisii ENSSHAG00000005295
monodelphis_domestica ENSMODG00000009892
echinops_telfairi ENSETEG00000007926
echinops_telfairi ENSETEG00000010644
loxodonta_africana ENSLAFG00000005300
procavia_capensis ENSPCAG00000013530
dasypus_novemcinctus ENSDNOG00000017734
choloepus_hoffmanni ENSCHOG00000000814
myotis_lucifugus ENSMLUG00000013153
pteropus_vampyrus ENSPVAG00000014081
equus_caballus ENSECAG00000018169
equus_asinus_asinus ENSEASG00005012054
ursus_americanus ENSUAMG00000003741
ursus_maritimus ENSUMAG00000018518
ailuropoda_melanoleuca ENSAMEG00000017412
mustela_putorius_furo ENSMPUG00000000558
neovison_vison ENSNVIG00000019201
canis_lupus_familiaris ENSCAFG00000009527
canis_lupus_dingo ENSCAFG00020013260
vulpes_vulpes ENSVVUG00000005050
panthera_pardus ENSPPRG00000012144
felis_catus ENSFCAG00000030069
bos_taurus ENSBTAG00000005980
bos_mutus ENSBMUG00000019854
capra_hircus ENSCHIG00000008467
ovis_aries ENSOARG00000018168
tursiops_truncatus ENSTTRG00000017332
sus_scrofa ENSSSCG00000001021
erinaceus_europaeus ENSEEUG00000006208
castor_canadensis ENSCCNG00000018630
dipodomys_ordii ENSDORG00000006979
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019316
mus_musculus ENSMUSG00000039087
mus_spicilegus ENSMSIG00000030286
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018436
mus_pahari MGP_PahariEiJ_G0019504
rattus_norvegicus ENSRNOG00000015701
meriones_unguiculatus ENSMUGG00000010484
cricetulus_griseus_chok1gshd ENSCGRG00001019036
cricetulus_griseus_crigri-picr ENSCGRG00015024485
cricetulus_griseus_crigri ENSCGRG00000008646
peromyscus_maniculatus_bairdii ENSPEMG00000014153
nannospalax_galili ENSNGAG00000021506
jaculus_jaculus ENSJJAG00000019738
urocitellus_parryii ENSUPAG00010008749
spermophilus_dauricus ENSSDAG00000007815
marmota_marmota_marmota ENSMMMG00000014665
ictidomys_tridecemlineatus ENSSTOG00000020497
chinchilla_lanigera ENSCLAG00000005266
octodon_degus ENSODEG00000007124
cavia_porcellus ENSCPOG00000014380
cavia_aperea ENSCAPG00000002984
heterocephalus_glaber_female ENSHGLG00000015266
heterocephalus_glaber_male ENSHGLG00100007763
fukomys_damarensis ENSFDAG00000004213
oryctolagus_cuniculus ENSOCUG00000022117
ochotona_princeps ENSOPRG00000001966
propithecus_coquereli ENSPCOG00000014821
prolemur_simus ENSPSMG00000024217
microcebus_murinus ENSMICG00000003683
otolemur_garnettii ENSOGAG00000025755
carlito_syrichta ENSTSYG00000037021
tupaia_belangeri ENSTBEG00000014263
pan_troglodytes ENSPTRG00000017697
pan_paniscus ENSPPAG00000037017
homo_sapiens ENSG00000124782
gorilla_gorilla ENSGGOG00000004561
pongo_abelii ENSPPYG00000016204
nomascus_leucogenys ENSNLEG00000011554
theropithecus_gelada ENSTGEG00000014810
papio_anubis ENSPANG00000019553
cercocebus_atys ENSCATG00000043662
mandrillus_leucophaeus ENSMLEG00000040965
macaca_fascicularis ENSMFAG00000000389
macaca_mulatta ENSMMUG00000007852
macaca_nemestrina ENSMNEG00000038556
chlorocebus_sabaeus ENSCSAG00000007376
colobus_angolensis_palliatus ENSCANG00000032835
piliocolobus_tephrosceles ENSPTEG00000012658
rhinopithecus_roxellana ENSRROG00000039603
rhinopithecus_bieti ENSRBIG00000042073
saimiri_boliviensis_boliviensis ENSSBOG00000025257
cebus_capucinus ENSCCAG00000021905
callithrix_jacchus ENSCJAG00000021358
aotus_nancymaae ENSANAG00000029040
urocitellus_parryii ENSUPAG00010014689
sorex_araneus ENSSARG00000000341
bison_bison_bison ENSBBBG00000013681
xenopus_tropicalis ENSXETG00000015435
latimeria_chalumnae ENSLACG00000009283
paramormyrops_kingsleyae ENSPKIG00000006372
scleropages_formosus ENSSFOG00015001117
pygocentrus_nattereri ENSPNAG00000015454
astyanax_mexicanus ENSAMXG00000015314
ictalurus_punctatus ENSIPUG00000003335
danio_rerio ENSDARG00000042652
oryzias_latipes ENSORLG00020010824
oryzias_latipes ENSORLG00000003316
oryzias_latipes_asm223469v1 ENSORLG00015007550
oryzias_melastigma ENSOMEG00000001389
gasterosteus_aculeatus ENSGACG00000000525
amphiprion_percula ENSAPEG00000002682
astatotilapia_calliptera ENSACLG00000018804
maylandia_zebra ENSMZEG00005020234
pundamilia_nyererei ENSPNYG00000003155
haplochromis_burtoni ENSHBUG00000003370
oreochromis_niloticus ENSONIG00000013406
neolamprologus_brichardi ENSNBRG00000016744
amphilophus_citrinellus ENSACIG00000019945
mola_mola ENSMMOG00000019210
seriola_dumerili ENSSDUG00000016130
seriola_lalandi_dorsalis ENSSLDG00000016716
scophthalmus_maximus ENSSMAG00000011647
mastacembelus_armatus ENSMAMG00000008392
monopterus_albus ENSMALG00000020989
anabas_testudineus ENSATEG00000017888
amphiprion_ocellaris ENSAOCG00000014950
stegastes_partitus ENSSPAG00000001773
acanthochromis_polyacanthus ENSAPOG00000020977
