chinchilla_lanigera ENSCLAG00000000980
fukomys_damarensis ENSFDAG00000005410
mesocricetus_auratus ENSMAUG00000000049
cricetulus_griseus_crigri ENSCGRG00000001356
peromyscus_maniculatus_bairdii ENSPEMG00000026307
nannospalax_galili ENSNGAG00000011946
jaculus_jaculus ENSJJAG00000003306
spermophilus_dauricus ENSSDAG00000018513
marmota_marmota_marmota ENSMMMG00000000965
pan_paniscus ENSPPAG00000004792
pan_troglodytes ENSPTRG00000049425
mandrillus_leucophaeus ENSMLEG00000006662
colobus_angolensis_palliatus ENSCANG00000030268
