acanthochromis_polyacanthus ENSAPOG00000017660
poecilia_latipinna ENSPLAG00000009604
esox_lucius ENSELUG00000010211
astatotilapia_calliptera ENSACLG00000013580
astatotilapia_calliptera ENSACLG00000027593
astatotilapia_calliptera ENSACLG00000007573
astyanax_mexicanus ENSAMXG00000007441
maylandia_zebra ENSMZEG00005027461
maylandia_zebra ENSMZEG00005025471
maylandia_zebra ENSMZEG00005003412
neolamprologus_brichardi ENSNBRG00000011409
oryzias_melastigma ENSOMEG00000007304
scophthalmus_maximus ENSSMAG00000000350
labrus_bergylta ENSLBEG00000021130
ictalurus_punctatus ENSIPUG00000000452
paramormyrops_kingsleyae ENSPKIG00000003165
