xenopus_tropicalis ENSXETG00000014192
latimeria_chalumnae ENSLACG00000012194
paramormyrops_kingsleyae ENSPKIG00000022813
scleropages_formosus ENSSFOG00015022805
lepisosteus_oculatus ENSLOCG00000004900
tetraodon_nigroviridis ENSTNIG00000009612
takifugu_rubripes ENSTRUG00000015893
oryzias_latipes ENSORLG00000027238
oryzias_latipes_asm223469v1 ENSORLG00015003561
oryzias_latipes ENSORLG00020001679
oryzias_melastigma ENSOMEG00000003594
cynoglossus_semilaevis ENSCSEG00000019402
monopterus_albus ENSMALG00000000417
mastacembelus_armatus ENSMAMG00000015926
anabas_testudineus ENSATEG00000021609
seriola_lalandi_dorsalis ENSSLDG00000003097
seriola_dumerili ENSSDUG00000016210
labrus_bergylta ENSLBEG00000003818
maylandia_zebra ENSMZEG00005014464
astatotilapia_calliptera ENSACLG00000001778
pundamilia_nyererei ENSPNYG00000002344
haplochromis_burtoni ENSHBUG00000008629
neolamprologus_brichardi ENSNBRG00000017997
oreochromis_niloticus ENSONIG00000007145
amphilophus_citrinellus ENSACIG00000023759
fundulus_heteroclitus ENSFHEG00000021519
cyprinodon_variegatus ENSCVAG00000004752
poecilia_formosa ENSPFOG00000003994
poecilia_latipinna ENSPLAG00000002037
poecilia_mexicana ENSPMEG00000020877
poecilia_reticulata ENSPREG00000019845
xiphophorus_maculatus ENSXMAG00000010179
xiphophorus_couchianus ENSXCOG00000013990
gambusia_affinis ENSGAFG00000014079
kryptolebias_marmoratus ENSKMAG00000020191
amphiprion_percula ENSAPEG00000000140
amphiprion_ocellaris ENSAOCG00000013870
acanthochromis_polyacanthus ENSAPOG00000022064
stegastes_partitus ENSSPAG00000003544
mola_mola ENSMMOG00000007241
gasterosteus_aculeatus ENSGACG00000017092
scophthalmus_maximus ENSSMAG00000008235
hippocampus_comes ENSHCOG00000005326
periophthalmus_magnuspinnatus ENSPMGG00000020064
gadus_morhua ENSGMOG00000002550
esox_lucius ENSELUG00000005617
pygocentrus_nattereri ENSPNAG00000026282
astyanax_mexicanus ENSAMXG00000041635
ictalurus_punctatus ENSIPUG00000018753
danio_rerio ENSDARG00000028386
chelonoidis_abingdonii ENSCABG00000015111
gopherus_agassizii ENSGAGG00000004113
chrysemys_picta_bellii ENSCPBG00000014041
sphenodon_punctatus ENSSPUG00000012161
apteryx_rowi ENSARWG00000003741
apteryx_haastii ENSAHAG00000014173
apteryx_owenii ENSAOWG00000010972
nothoprocta_perdicaria ENSNPEG00000004538
lepidothrix_coronata ENSLCOG00000010565
manacus_vitellinus ENSMVIG00005015267
taeniopygia_guttata ENSTGUG00000017027
lonchura_striata_domestica ENSLSDG00000009351
serinus_canaria ENSSCAG00000017303
junco_hyemalis ENSJHYG00000000402
zonotrichia_albicollis ENSZALG00000015584
ficedula_albicollis ENSFALG00000003469
parus_major ENSPMJG00000006573
calidris_pygmaea ENSCPGG00000004520
calidris_pugnax ENSCPUG00000001030
melopsittacus_undulatus ENSMUNG00000000862
anser_brachyrhynchus ENSABRG00000022964
anas_platyrhynchos_platyrhynchos ENSAPLG00000016049
meleagris_gallopavo ENSMGAG00000005230
coturnix_japonica ENSCJPG00005021213
gallus_gallus ENSGALG00000002581
numida_meleagris ENSNMEG00000020572
crocodylus_porosus ENSCPRG00005001159
anolis_carolinensis ENSACAG00000016668
pogona_vitticeps ENSPVIG00000024390
notechis_scutatus ENSNSUG00000000262
salvator_merianae ENSSMRG00000000299
salvator_merianae ENSSMRG00000000322
phascolarctos_cinereus ENSPCIG00000001125
notamacropus_eugenii ENSMEUG00000011616
sarcophilus_harrisii ENSSHAG00000012653
monodelphis_domestica ENSMODG00000009101
propithecus_coquereli ENSPCOG00000013907
microcebus_murinus ENSMICG00000017114
prolemur_simus ENSPSMG00000019943
otolemur_garnettii ENSOGAG00000008274
cebus_capucinus ENSCCAG00000027873
cebus_capucinus ENSCCAG00000028859
saimiri_boliviensis_boliviensis ENSSBOG00000019955
callithrix_jacchus ENSCJAG00000006718
aotus_nancymaae ENSANAG00000030661
cebus_capucinus ENSCCAG00000025568
pan_troglodytes ENSPTRG00000003438
pan_paniscus ENSPPAG00000032415
homo_sapiens ENSG00000109854
gorilla_gorilla ENSGGOG00000015692
pongo_abelii ENSPPYG00000003421
nomascus_leucogenys ENSNLEG00000027250
macaca_fascicularis ENSMFAG00000032818
macaca_nemestrina ENSMNEG00000030788
chlorocebus_sabaeus ENSCSAG00000005121
cercocebus_atys ENSCATG00000029860
papio_anubis ENSPANG00000016673
mandrillus_leucophaeus ENSMLEG00000041576
theropithecus_gelada ENSTGEG00000008498
rhinopithecus_bieti ENSRBIG00000040284
rhinopithecus_roxellana ENSRROG00000038959
piliocolobus_tephrosceles ENSPTEG00000020641
colobus_angolensis_palliatus ENSCANG00000030616
spermophilus_dauricus ENSSDAG00000014025
marmota_marmota_marmota ENSMMMG00000006085
ictidomys_tridecemlineatus ENSSTOG00000011216
urocitellus_parryii ENSUPAG00010013589
castor_canadensis ENSCCNG00000001928
heterocephalus_glaber_male ENSHGLG00100010360
heterocephalus_glaber_female ENSHGLG00000007735
fukomys_damarensis ENSFDAG00000006077
chinchilla_lanigera ENSCLAG00000001494
octodon_degus ENSODEG00000000910
cavia_porcellus ENSCPOG00000039427
cavia_aperea ENSCAPG00000008885
microtus_ochrogaster ENSMOCG00000002577
peromyscus_maniculatus_bairdii ENSPEMG00000009365
cricetulus_griseus_crigri-picr ENSCGRG00015017400
cricetulus_griseus_chok1gshd ENSCGRG00001016457
cricetulus_griseus_crigri ENSCGRG00000013187
mesocricetus_auratus ENSMAUG00000012120
mus_musculus ENSMUSG00000039745
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030892
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029789
mus_pahari MGP_PahariEiJ_G0013014
rattus_norvegicus ENSRNOG00000022189
