oryzias_latipes_asm223469v1 ENSORLG00015019669
oryzias_latipes ENSORLG00000024411
oryzias_latipes ENSORLG00020005210
oryzias_melastigma ENSOMEG00000000499
kryptolebias_marmoratus ENSKMAG00000004609
monopterus_albus ENSMALG00000002554
seriola_lalandi_dorsalis ENSSLDG00000010134
scophthalmus_maximus ENSSMAG00000005981
mastacembelus_armatus ENSMAMG00000008510
anabas_testudineus ENSATEG00000022915
mola_mola ENSMMOG00000014062
labrus_bergylta ENSLBEG00000011822
pundamilia_nyererei ENSPNYG00000016766
neolamprologus_brichardi ENSNBRG00000001297
amphilophus_citrinellus ENSACIG00000017666
xiphophorus_couchianus ENSXCOG00000015786
xiphophorus_maculatus ENSXMAG00000020986
poecilia_mexicana ENSPMEG00000021831
poecilia_latipinna ENSPLAG00000007605
poecilia_formosa ENSPFOG00000020341
gambusia_affinis ENSGAFG00000010466
cyprinodon_variegatus ENSCVAG00000017772
acanthochromis_polyacanthus ENSAPOG00000012277
amphiprion_ocellaris ENSAOCG00000020308
hippocampus_comes ENSHCOG00000002039
esox_lucius ENSELUG00000016425
astyanax_mexicanus ENSAMXG00000024915
paramormyrops_kingsleyae ENSPKIG00000023391
scleropages_formosus ENSSFOG00015017708
oryzias_latipes ENSORLG00020018050
oryzias_melastigma ENSOMEG00000023550
labrus_bergylta ENSLBEG00000014448
anabas_testudineus ENSATEG00000003858
anabas_testudineus ENSATEG00000003804
takifugu_rubripes ENSTRUG00000022185
seriola_lalandi_dorsalis ENSSLDG00000011149
scophthalmus_maximus ENSSMAG00000010325
haplochromis_burtoni ENSHBUG00000011346
pundamilia_nyererei ENSPNYG00000003494
acanthochromis_polyacanthus ENSAPOG00000007644
poecilia_formosa ENSPFOG00000024572
poecilia_mexicana ENSPMEG00000019422
xiphophorus_couchianus ENSXCOG00000017582
fundulus_heteroclitus ENSFHEG00000001896
periophthalmus_magnuspinnatus ENSPMGG00000017234
hippocampus_comes ENSHCOG00000004786
lepisosteus_oculatus ENSLOCG00000007784
dasypus_novemcinctus ENSDNOG00000040940
mustela_putorius_furo ENSMPUG00000013572
sarcophilus_harrisii ENSSHAG00000009828
monodelphis_domestica ENSMODG00000023333
ornithorhynchus_anatinus ENSOANG00000006330
ornithorhynchus_anatinus ENSOANG00000008823
latimeria_chalumnae ENSLACG00000015935
