amphilophus_citrinellus ENSACIG00000022082
neolamprologus_brichardi ENSNBRG00000021276
amphiprion_percula ENSAPEG00000016067
gambusia_affinis ENSGAFG00000011057
xiphophorus_maculatus ENSXMAG00000023770
scophthalmus_maximus ENSSMAG00000013055
esox_lucius ENSELUG00000016853
pygocentrus_nattereri ENSPNAG00000025883
paramormyrops_kingsleyae ENSPKIG00000002440
melopsittacus_undulatus ENSMUNG00000009163
notechis_scutatus ENSNSUG00000000440
macaca_mulatta ENSMMUG00000046667
macaca_fascicularis ENSMFAG00000028097
macaca_nemestrina ENSMNEG00000006011
rhinopithecus_roxellana ENSRROG00000008958
rhinopithecus_bieti ENSRBIG00000016736
colobus_angolensis_palliatus ENSCANG00000003573
theropithecus_gelada ENSTGEG00000026849
papio_anubis ENSPANG00000032274
mandrillus_leucophaeus ENSMLEG00000000685
cercocebus_atys ENSCATG00000016213
nomascus_leucogenys ENSNLEG00000036179
aotus_nancymaae ENSANAG00000019199
prolemur_simus ENSPSMG00000004828
meriones_unguiculatus ENSMUGG00000021650
mus_spicilegus ENSMSIG00000030656
sus_scrofa ENSSSCG00000034900
