pteropus_vampyrus ENSPVAG00000001642
myotis_lucifugus ENSMLUG00000017258
equus_caballus ENSECAG00000010592
equus_asinus ENSEASG00005003721
capra_hircus ENSCHIG00000024829
ovis_aries ENSOARG00000015681
bos_indicus ENSBIXG00000010999
bos_taurus ENSBTAG00000017408
bos_indicus ENSBIXG00005031328
bos_mutus ENSBMUG00000007416
bison_bison ENSBBBG00000025230
sus_scrofa ENSSSCG00000036987
vicugna_pacos ENSVPAG00000000994
neovison_vison ENSNVIG00000001640
mustela_putorius ENSMPUG00000014577
ursus_americanus ENSUAMG00000012444
ursus_maritimus ENSUMAG00000018152
ailuropoda_melanoleuca ENSAMEG00000008365
canis_lupus ENSCAFG00020018558
canis_lupus ENSCAFG00000015997
vulpes_vulpes ENSVVUG00000024301
felis_catus ENSFCAG00000046635
felis_catus ENSFCAG00000046553
panthera_pardus ENSPPRG00000022324
panthera_tigris ENSPTIG00000009659
pan_paniscus ENSPPAG00000031205
pan_troglodytes ENSPTRG00000030928
gorilla_gorilla ENSGGOG00000006511
homo_sapiens ENSG00000204889
pongo_abelii ENSPPYG00000008445
nomascus_leucogenys ENSNLEG00000002340
theropithecus_gelada ENSTGEG00000007402
papio_anubis ENSPANG00000021567
cercocebus_atys ENSCATG00000034790
mandrillus_leucophaeus ENSMLEG00000029742
chlorocebus_sabaeus ENSCSAG00000002848
macaca_nemestrina ENSMNEG00000040425
macaca_mulatta ENSMMUG00000001142
macaca_fascicularis ENSMFAG00000044976
piliocolobus_tephrosceles ENSPTEG00000012012
colobus_angolensis ENSCANG00000021022
rhinopithecus_roxellana ENSRROG00000040878
rhinopithecus_bieti ENSRBIG00000033402
saimiri_boliviensis ENSSBOG00000033336
cebus_capucinus ENSCCAG00000032652
callithrix_jacchus ENSCJAG00000013706
aotus_nancymaae ENSANAG00000031905
carlito_syrichta ENSTSYG00000011333
prolemur_simus ENSPSMG00000010509
propithecus_coquereli ENSPCOG00000017920
microcebus_murinus ENSMICG00000009912
otolemur_garnettii ENSOGAG00000003085
tupaia_belangeri ENSTBEG00000010527
castor_canadensis ENSCCNG00000023645
dipodomys_ordii ENSDORG00000016181
mus_spicilegus ENSMSIG00000025867
mus_spretus MGP_SPRETEiJ_G0017965
mus_musculus ENSMUSG00000059169
mus_caroli MGP_CAROLIEiJ_G0017121
mus_pahari MGP_PahariEiJ_G0018250
rattus_norvegicus ENSRNOG00000013896
meriones_unguiculatus ENSMUGG00000022583
cricetulus_griseus ENSCGRG00001000083
cricetulus_griseus ENSCGRG00000004353
cricetulus_griseus ENSCGRG00015004451
mesocricetus_auratus ENSMAUG00000019288
microtus_ochrogaster ENSMOCG00000016435
peromyscus_maniculatus ENSPEMG00000011683
nannospalax_galili ENSNGAG00000002573
jaculus_jaculus ENSJJAG00000022059
urocitellus_parryii ENSUPAG00010008559
spermophilus_dauricus ENSSDAG00000007267
marmota_marmota ENSMMMG00000007173
cavia_aperea ENSCAPG00000015134
cavia_porcellus ENSCPOG00000011037
octodon_degus ENSODEG00000017770
chinchilla_lanigera ENSCLAG00000014940
heterocephalus_glaber ENSHGLG00100002558
heterocephalus_glaber ENSHGLG00000014814
fukomys_damarensis ENSFDAG00000000223
oryctolagus_cuniculus ENSOCUG00000015603
ochotona_princeps ENSOPRG00000009589
choloepus_hoffmanni ENSCHOG00000010912
loxodonta_africana ENSLAFG00000007415
procavia_capensis ENSPCAG00000007226
echinops_telfairi ENSETEG00000014533
vombatus_ursinus ENSVURG00010004631
phascolarctos_cinereus ENSPCIG00000025856
notamacropus_eugenii ENSMEUG00000015958
sarcophilus_harrisii ENSSHAG00000005127
monodelphis_domestica ENSMODG00000013596
ornithorhynchus_anatinus ENSOANG00000002903
