takifugu_rubripes ENSTRUG00000025778
tetraodon_nigroviridis ENSTNIG00000003051
mola_mola ENSMMOG00000000288
labrus_bergylta ENSLBEG00000001235
gasterosteus_aculeatus ENSGACG00000011980
amphiprion_ocellaris ENSAOCG00000012621
amphiprion_percula ENSAPEG00000011958
acanthochromis_polyacanthus ENSAPOG00000022529
stegastes_partitus ENSSPAG00000013517
astatotilapia_calliptera ENSACLG00000023603
maylandia_zebra ENSMZEG00005024024
haplochromis_burtoni ENSHBUG00000001561
pundamilia_nyererei ENSPNYG00000009823
neolamprologus_brichardi ENSNBRG00000002035
amphilophus_citrinellus ENSACIG00000023885
monopterus_albus ENSMALG00000010560
mastacembelus_armatus ENSMAMG00000011916
oryzias_latipes ENSORLG00020015234
oryzias_latipes ENSORLG00000023029
oryzias_latipes_asm223469v1 ENSORLG00015020880
oryzias_melastigma ENSOMEG00000001660
kryptolebias_marmoratus ENSKMAG00000004508
anabas_testudineus ENSATEG00000010518
scophthalmus_maximus ENSSMAG00000002627
cynoglossus_semilaevis ENSCSEG00000007261
seriola_lalandi_dorsalis ENSSLDG00000022482
seriola_dumerili ENSSDUG00000013267
periophthalmus_magnuspinnatus ENSPMGG00000009236
hippocampus_comes ENSHCOG00000010495
gadus_morhua ENSGMOG00000002524
esox_lucius ENSELUG00000022893
pygocentrus_nattereri ENSPNAG00000010688
ictalurus_punctatus ENSIPUG00000021056
paramormyrops_kingsleyae ENSPKIG00000022016
