ailuropoda_melanoleuca ENSAMEG00000000424
mustela_putorius ENSMPUG00000009840
capra_hircus ENSCHIG00000009598
ovis_aries ENSOARG00000003940
capra_hircus ENSCHIG00000020460
equus_asinus ENSEASG00005011498
mustela_putorius ENSMPUG00000016145
neovison_vison ENSNVIG00000014890
vicugna_pacos ENSVPAG00000002291
spermophilus_dauricus ENSSDAG00000004008
marmota_marmota ENSMMMG00000000626
oryctolagus_cuniculus ENSOCUG00000032744
oryctolagus_cuniculus ENSOCUG00000030202
piliocolobus_tephrosceles ENSPTEG00000010092
prolemur_simus ENSPSMG00000002536
choloepus_hoffmanni ENSCHOG00000013510
