anser_brachyrhynchus ENSABRG00000010525
anas_platyrhynchos_platyrhynchos ENSAPLG00000014927
gallus_gallus ENSGALG00000043613
coturnix_japonica ENSCJPG00005011446
meleagris_gallopavo ENSMGAG00000013791
numida_meleagris ENSNMEG00000019936
calidris_pugnax ENSCPUG00000018832
calidris_pygmaea ENSCPGG00000015770
lepidothrix_coronata ENSLCOG00000011364
manacus_vitellinus ENSMVIG00005007966
serinus_canaria ENSSCAG00000001897
zonotrichia_albicollis ENSZALG00000003992
taeniopygia_guttata ENSTGUG00000013113
lonchura_striata_domestica ENSLSDG00000002855
junco_hyemalis ENSJHYG00000000090
ficedula_albicollis ENSFALG00000003892
parus_major ENSPMJG00000011869
cyanistes_caeruleus ENSCCEG00000001518
melopsittacus_undulatus ENSMUNG00000004138
apteryx_haastii ENSAHAG00000012836
apteryx_rowi ENSARWG00000007942
apteryx_owenii ENSAOWG00000004969
dromaius_novaehollandiae ENSDNVG00000016690
nothoprocta_perdicaria ENSNPEG00000015012
crocodylus_porosus ENSCPRG00005011772
gopherus_agassizii ENSGAGG00000019299
chelonoidis_abingdonii ENSCABG00000012833
chrysemys_picta_bellii ENSCPBG00000021540
pelodiscus_sinensis ENSPSIG00000011021
anolis_carolinensis ENSACAG00000007041
pogona_vitticeps ENSPVIG00000009405
notechis_scutatus ENSNSUG00000013687
salvator_merianae ENSSMRG00000009442
sphenodon_punctatus ENSSPUG00000006111
phascolarctos_cinereus ENSPCIG00000020701
notamacropus_eugenii ENSMEUG00000002766
sarcophilus_harrisii ENSSHAG00000001610
monodelphis_domestica ENSMODG00000014477
capra_hircus ENSCHIG00000016034
ovis_aries ENSOARG00000017648
bos_mutus ENSBMUG00000004085
bos_taurus ENSBTAG00000010399
bison_bison_bison ENSBBBG00000025167
tursiops_truncatus ENSTTRG00000003821
sus_scrofa ENSSSCG00000035934
vicugna_pacos ENSVPAG00000012214
ailuropoda_melanoleuca ENSAMEG00000001980
ailuropoda_melanoleuca ENSAMEG00000005156
ursus_maritimus ENSUMAG00000014494
ursus_americanus ENSUAMG00000023074
mustela_putorius_furo ENSMPUG00000005348
neovison_vison ENSNVIG00000001988
canis_lupus_familiaris ENSCAFG00000014709
canis_lupus_dingo ENSCAFG00020018823
vulpes_vulpes ENSVVUG00000029711
panthera_pardus ENSPPRG00000007881
panthera_tigris_altaica ENSPTIG00000019619
felis_catus ENSFCAG00000024023
myotis_lucifugus ENSMLUG00000015378
pteropus_vampyrus ENSPVAG00000001317
erinaceus_europaeus ENSEEUG00000012015
sorex_araneus ENSSARG00000007187
equus_caballus ENSECAG00000011287
equus_asinus_asinus ENSEASG00005003917
dipodomys_ordii ENSDORG00000016675
castor_canadensis ENSCCNG00000011368
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020033
mus_spicilegus ENSMSIG00000018061
mus_musculus ENSMUSG00000021830
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019147
mus_pahari MGP_PahariEiJ_G0030164
rattus_norvegicus ENSRNOG00000006334
meriones_unguiculatus ENSMUGG00000010857
microtus_ochrogaster ENSMOCG00000020423
peromyscus_maniculatus_bairdii ENSPEMG00000023467
cricetulus_griseus_crigri ENSCGRG00000009209
cricetulus_griseus_crigri-picr ENSCGRG00015021261
cricetulus_griseus_chok1gshd ENSCGRG00001009543
mesocricetus_auratus ENSMAUG00000014197
nannospalax_galili ENSNGAG00000010618
jaculus_jaculus ENSJJAG00000023879
chinchilla_lanigera ENSCLAG00000011425
octodon_degus ENSODEG00000010904
cavia_porcellus ENSCPOG00000012597
cavia_aperea ENSCAPG00000013244
heterocephalus_glaber_female ENSHGLG00000010925
heterocephalus_glaber_male ENSHGLG00100012989
fukomys_damarensis ENSFDAG00000017914
ictidomys_tridecemlineatus ENSSTOG00000011279
urocitellus_parryii ENSUPAG00010008665
spermophilus_dauricus ENSSDAG00000019137
marmota_marmota_marmota ENSMMMG00000001602
oryctolagus_cuniculus ENSOCUG00000012614
ochotona_princeps ENSOPRG00000016423
prolemur_simus ENSPSMG00000009469
microcebus_murinus ENSMICG00000003453
propithecus_coquereli ENSPCOG00000017877
otolemur_garnettii ENSOGAG00000033702
pan_troglodytes ENSPTRG00000006348
pan_paniscus ENSPPAG00000000056
homo_sapiens ENSG00000087301
gorilla_gorilla ENSGGOG00000016034
pongo_abelii ENSPPYG00000005818
nomascus_leucogenys ENSNLEG00000012471
colobus_angolensis_palliatus ENSCANG00000032214
piliocolobus_tephrosceles ENSPTEG00000038964
rhinopithecus_roxellana ENSRROG00000035351
rhinopithecus_bieti ENSRBIG00000027274
mandrillus_leucophaeus ENSMLEG00000037054
papio_anubis ENSPANG00000007166
theropithecus_gelada ENSTGEG00000009444
cercocebus_atys ENSCATG00000033073
macaca_mulatta ENSMMUG00000006997
macaca_fascicularis ENSMFAG00000001964
macaca_nemestrina ENSMNEG00000040284
chlorocebus_sabaeus ENSCSAG00000015051
cebus_capucinus ENSCCAG00000033371
saimiri_boliviensis_boliviensis ENSSBOG00000022684
callithrix_jacchus ENSCJAG00000007050
aotus_nancymaae ENSANAG00000037098
tupaia_belangeri ENSTBEG00000002442
choloepus_hoffmanni ENSCHOG00000013325
dasypus_novemcinctus ENSDNOG00000009190
loxodonta_africana ENSLAFG00000004272
procavia_capensis ENSPCAG00000016559
echinops_telfairi ENSETEG00000001063
ornithorhynchus_anatinus ENSOANG00000013956
xenopus_tropicalis ENSXETG00000012203
latimeria_chalumnae ENSLACG00000019111
tetraodon_nigroviridis ENSTNIG00000000818
takifugu_rubripes ENSTRUG00000009266
