cynoglossus_semilaevis ENSCSEG00000006455
gouania_willdenowi ENSGWIG00000019677
seriola_dumerili ENSSDUG00000019648
seriola_lalandi ENSSLDG00000022443
lates_calcarifer ENSLCAG00010014675
scophthalmus_maximus ENSSMAG00000013038
monopterus_albus ENSMALG00000005351
mastacembelus_armatus ENSMAMG00000004508
anabas_testudineus ENSATEG00000011137
betta_splendens ENSBSLG00000000716
cottoperca_gobio ENSCGOG00000003730
gasterosteus_aculeatus ENSGACG00000005632
labrus_bergylta ENSLBEG00000018944
mola_mola ENSMMOG00000000934
mola_mola ENSMMOG00000003911
larimichthys_crocea ENSLCRG00005006890
amphiprion_ocellaris ENSAOCG00000018442
amphiprion_percula ENSAPEG00000022457
acanthochromis_polyacanthus ENSAPOG00000002865
stegastes_partitus ENSSPAG00000020876
parambassis_ranga ENSPRNG00000003090
xiphophorus_couchianus ENSXCOG00000020023
xiphophorus_maculatus ENSXMAG00000003966
gambusia_affinis ENSGAFG00000020845
poecilia_latipinna ENSPLAG00000005542
poecilia_mexicana ENSPMEG00000023429
poecilia_formosa ENSPFOG00000012662
poecilia_reticulata ENSPREG00000013391
fundulus_heteroclitus ENSFHEG00000004786
cyprinodon_variegatus ENSCVAG00000013035
kryptolebias_marmoratus ENSKMAG00000021080
oryzias_latipes ENSORLG00000006094
oryzias_latipes ENSORLG00020009436
oryzias_latipes ENSORLG00015002252
oryzias_melastigma ENSOMEG00000017963
astatotilapia_calliptera ENSACLG00000012122
maylandia_zebra ENSMZEG00005001450
pundamilia_nyererei ENSPNYG00000015836
haplochromis_burtoni ENSHBUG00000019281
neolamprologus_brichardi ENSNBRG00000013739
oreochromis_niloticus ENSONIG00000015596
amphilophus_citrinellus ENSACIG00000006722
periophthalmus_magnuspinnatus ENSPMGG00000000667
periophthalmus_magnuspinnatus ENSPMGG00000000624
periophthalmus_magnuspinnatus ENSPMGG00000000648
hippocampus_comes ENSHCOG00000020419
takifugu_rubripes ENSTRUG00000025212
takifugu_rubripes ENSTRUG00000008835
tetraodon_nigroviridis ENSTNIG00000006542
tetraodon_nigroviridis ENSTNIG00000002774
gadus_morhua ENSGMOG00000018122
hucho_hucho ENSHHUG00000038321
esox_lucius ENSELUG00000022628
clupea_harengus ENSCHAG00000016916
denticeps_clupeoides ENSDCDG00000023765
astyanax_mexicanus ENSAMXG00005014239
astyanax_mexicanus ENSAMXG00000018890
pygocentrus_nattereri ENSPNAG00000023923
electrophorus_electricus ENSEEEG00000017921
ictalurus_punctatus ENSIPUG00000010772
danio_rerio ENSDARG00000104040
danio_rerio ENSDARG00000114424
danio_rerio ENSDARG00000071062
paramormyrops_kingsleyae ENSPKIG00000018625
scleropages_formosus ENSSFOG00015010902
lepisosteus_oculatus ENSLOCG00000006802
erpetoichthys_calabaricus ENSECRG00000020169
callorhinchus_milii ENSCMIG00000011307
latimeria_chalumnae ENSLACG00000011372
xenopus_tropicalis ENSXETG00000017251
sphenodon_punctatus ENSSPUG00000010164
sphenodon_punctatus ENSSPUG00000010181
notechis_scutatus ENSNSUG00000018112
notechis_scutatus ENSNSUG00000018113
pogona_vitticeps ENSPVIG00000023949
anolis_carolinensis ENSACAG00000000059
salvator_merianae ENSSMRG00000014207
anas_platyrhynchos ENSAPLG00000023894
ornithorhynchus_anatinus ENSOANG00000020292
chrysemys_picta ENSCPBG00000007026
gopherus_agassizii ENSGAGG00000025268
chelonoidis_abingdonii ENSCABG00000005641
pelodiscus_sinensis ENSPSIG00000002586
crocodylus_porosus ENSCPRG00005017251
anser_brachyrhynchus ENSABRG00000018923
anas_platyrhynchos ENSAPLG00000005319
meleagris_gallopavo ENSMGAG00000007279
coturnix_japonica ENSCJPG00005010777
gallus_gallus ENSGALG00000032502
numida_meleagris ENSNMEG00000011233
calidris_pygmaea ENSCPGG00000002741
calidris_pugnax ENSCPUG00000001872
melopsittacus_undulatus ENSMUNG00000000072
lepidothrix_coronata ENSLCOG00000013898
manacus_vitellinus ENSMVIG00005010867
cyanistes_caeruleus ENSCCEG00000008917
parus_major ENSPMJG00000008665
ficedula_albicollis ENSFALG00000011125
lonchura_striata ENSLSDG00000007649
taeniopygia_guttata ENSTGUG00000008872
serinus_canaria ENSSCAG00000005001
junco_hyemalis ENSJHYG00000013651
zonotrichia_albicollis ENSZALG00000017031
apteryx_owenii ENSAOWG00000017218
apteryx_haastii ENSAHAG00000008157
apteryx_rowi ENSARWG00000009973
dromaius_novaehollandiae ENSDNVG00000013426
nothoprocta_perdicaria ENSNPEG00000014452
nothoprocta_perdicaria ENSNPEG00000014453
ornithorhynchus_anatinus ENSOANG00000028398
chelonoidis_abingdonii ENSCABG00000016438
callorhinchus_milii ENSCMIG00000011312
myotis_lucifugus ENSMLUG00000016318
pteropus_vampyrus ENSPVAG00000007202
ursus_maritimus ENSUMAG00000020566
ursus_americanus ENSUAMG00000019163
ailuropoda_melanoleuca ENSAMEG00000017819
neovison_vison ENSNVIG00000018867
mustela_putorius ENSMPUG00000013726
canis_lupus ENSCAFG00020018444
canis_lupus ENSCAFG00000009161
vulpes_vulpes ENSVVUG00000002771
panthera_pardus ENSPPRG00000022226
panthera_tigris ENSPTIG00000010507
felis_catus ENSFCAG00000011158
equus_asinus ENSEASG00005012900
equus_caballus ENSECAG00000015720
bos_indicus ENSBIXG00000008852
bos_indicus ENSBIXG00005024315
bos_taurus ENSBTAG00000005147
bos_mutus ENSBMUG00000021851
bison_bison ENSBBBG00000007648
ovis_aries ENSOARG00000009767
capra_hircus ENSCHIG00000009350
tursiops_truncatus ENSTTRG00000013754
sus_scrofa ENSSSCG00000049136
vicugna_pacos ENSVPAG00000010212
erinaceus_europaeus ENSEEUG00000003082
sorex_araneus ENSSARG00000001180
ursus_maritimus ENSUMAG00000020540
heterocephalus_glaber ENSHGLG00000010391
heterocephalus_glaber ENSHGLG00100008594
fukomys_damarensis ENSFDAG00000015534
octodon_degus ENSODEG00000010218
octodon_degus ENSODEG00000009884
chinchilla_lanigera ENSCLAG00000017249
cavia_porcellus ENSCPOG00000004341
cavia_aperea ENSCAPG00000014718
ictidomys_tridecemlineatus ENSSTOG00000000011
spermophilus_dauricus ENSSDAG00000011926
urocitellus_parryii ENSUPAG00010010479
marmota_marmota ENSMMMG00000004900
dipodomys_ordii ENSDORG00000004137
castor_canadensis ENSCCNG00000014482
mus_spretus MGP_SPRETEiJ_G0030867
mus_musculus ENSMUSG00000014418
mus_spicilegus ENSMSIG00000004919
mus_caroli MGP_CAROLIEiJ_G0029769
mus_pahari MGP_PahariEiJ_G0012994
rattus_norvegicus ENSRNOG00000055531
meriones_unguiculatus ENSMUGG00000012900
cricetulus_griseus ENSCGRG00001010559
cricetulus_griseus ENSCGRG00000017500
cricetulus_griseus ENSCGRG00015015685
mesocricetus_auratus ENSMAUG00000010870
microtus_ochrogaster ENSMOCG00000010495
nannospalax_galili ENSNGAG00000005510
jaculus_jaculus ENSJJAG00000013414
jaculus_jaculus ENSJJAG00000019690
dipodomys_ordii ENSDORG00000027902
oryctolagus_cuniculus ENSOCUG00000017624
ochotona_princeps ENSOPRG00000014080
tupaia_belangeri ENSTBEG00000016316
pan_paniscus ENSPPAG00000039372
pan_troglodytes ENSPTRG00000003419
gorilla_gorilla ENSGGOG00000010309
homo_sapiens ENSG00000110756
pongo_abelii ENSPPYG00000003439
nomascus_leucogenys ENSNLEG00000017752
mandrillus_leucophaeus ENSMLEG00000035748
cercocebus_atys ENSCATG00000035219
macaca_fascicularis ENSMFAG00000044104
macaca_mulatta ENSMMUG00000017958
macaca_nemestrina ENSMNEG00000030883
theropithecus_gelada ENSTGEG00000011121
papio_anubis ENSPANG00000000205
chlorocebus_sabaeus ENSCSAG00000005000
colobus_angolensis ENSCANG00000033873
piliocolobus_tephrosceles ENSPTEG00000017375
rhinopithecus_bieti ENSRBIG00000030954
rhinopithecus_roxellana ENSRROG00000045543
saimiri_boliviensis ENSSBOG00000034848
cebus_capucinus ENSCCAG00000032081
callithrix_jacchus ENSCJAG00000007185
aotus_nancymaae ENSANAG00000018225
carlito_syrichta ENSTSYG00000009261
otolemur_garnettii ENSOGAG00000027885
otolemur_garnettii ENSOGAG00000011208
propithecus_coquereli ENSPCOG00000018482
prolemur_simus ENSPSMG00000022113
microcebus_murinus ENSMICG00000005626
loxodonta_africana ENSLAFG00000011289
procavia_capensis ENSPCAG00000006605
echinops_telfairi ENSETEG00000006379
choloepus_hoffmanni ENSCHOG00000011860
dasypus_novemcinctus ENSDNOG00000008878
callorhinchus_milii ENSCMIG00000011297
phascolarctos_cinereus ENSPCIG00000013753
vombatus_ursinus ENSVURG00010000530
notamacropus_eugenii ENSMEUG00000005452
sarcophilus_harrisii ENSSHAG00000016026
monodelphis_domestica ENSMODG00000006574
eptatretus_burgeri ENSEBUG00000009961
ciona_intestinalis ENSCING00000012586
drosophila_melanogaster FBgn0086679
