amphiprion_ocellaris ENSAOCG00000001151
amphiprion_percula ENSAPEG00000021032
acanthochromis_polyacanthus ENSAPOG00000015285
stegastes_partitus ENSSPAG00000010544
astatotilapia_calliptera ENSACLG00000011397
maylandia_zebra ENSMZEG00005024857
haplochromis_burtoni ENSHBUG00000017204
anabas_testudineus ENSATEG00000002561
monopterus_albus ENSMALG00000017764
seriola_lalandi_dorsalis ENSSLDG00000008024
labrus_bergylta ENSLBEG00000023308
gasterosteus_aculeatus ENSGACG00000004927
poecilia_latipinna ENSPLAG00000013118
poecilia_formosa ENSPFOG00000011081
poecilia_reticulata ENSPREG00000006809
xiphophorus_maculatus ENSXMAG00000007094
gambusia_affinis ENSGAFG00000018678
fundulus_heteroclitus ENSFHEG00000012534
kryptolebias_marmoratus ENSKMAG00000007885
oryzias_melastigma ENSOMEG00000019692
esox_lucius ENSELUG00000011311
