xiphophorus_couchianus ENSXCOG00000004158
poecilia_mexicana ENSPMEG00000010790
cyprinodon_variegatus ENSCVAG00000014661
stegastes_partitus ENSSPAG00000008890
astatotilapia_calliptera ENSACLG00000021946
pundamilia_nyererei ENSPNYG00000016324
maylandia_zebra ENSMZEG00005016170
haplochromis_burtoni ENSHBUG00000001385
amphilophus_citrinellus ENSACIG00000021074
mola_mola ENSMMOG00000007308
seriola_lalandi_dorsalis ENSSLDG00000014257
scophthalmus_maximus ENSSMAG00000002109
periophthalmus_magnuspinnatus ENSPMGG00000012033
urocitellus_parryii ENSUPAG00010000979
spermophilus_dauricus ENSSDAG00000017881
meriones_unguiculatus ENSMUGG00000018861
ursus_americanus ENSUAMG00000026998
ornithorhynchus_anatinus ENSOANG00000005517
cyanistes_caeruleus ENSCCEG00000006685
