macaca_nemestrina ENSMNEG00000028206
macaca_fascicularis ENSMFAG00000029631
theropithecus_gelada ENSTGEG00000024011
cercocebus_atys ENSCATG00000007986
mandrillus_leucophaeus ENSMLEG00000026168
papio_anubis ENSPANG00000030203
rhinopithecus_bieti ENSRBIG00000024236
rhinopithecus_roxellana ENSRROG00000023156
piliocolobus_tephrosceles ENSPTEG00000039499
colobus_angolensis_palliatus ENSCANG00000016918
pan_troglodytes ENSPTRG00000044544
pan_paniscus ENSPPAG00000014151
homo_sapiens ENSG00000261873
gorilla_gorilla ENSGGOG00000036422
gorilla_gorilla ENSGGOG00000042407
nomascus_leucogenys ENSNLEG00000032208
callithrix_jacchus ENSCJAG00000043298
prolemur_simus ENSPSMG00000008322
mus_musculus ENSMUSG00000110344
mus_spicilegus ENSMSIG00000030792
meriones_unguiculatus ENSMUGG00000002303
cricetulus_griseus_chok1gshd ENSCGRG00001011423
cricetulus_griseus_crigri-picr ENSCGRG00015005373
cricetulus_griseus_crigri ENSCGRG00000018708
peromyscus_maniculatus_bairdii ENSPEMG00000027921
castor_canadensis ENSCCNG00000002523
chinchilla_lanigera ENSCLAG00000018044
cavia_porcellus ENSCPOG00000032031
urocitellus_parryii ENSUPAG00010008327
ictidomys_tridecemlineatus ENSSTOG00000032016
spermophilus_dauricus ENSSDAG00000020767
marmota_marmota_marmota ENSMMMG00000020885
panthera_tigris_altaica ENSPTIG00000001252
panthera_pardus ENSPPRG00000021579
neovison_vison ENSNVIG00000012112
bison_bison_bison ENSBBBG00000021690
bos_mutus ENSBMUG00000018764
capra_hircus ENSCHIG00000002924
phascolarctos_cinereus ENSPCIG00000032998
calidris_pygmaea ENSCPGG00000000653
anser_brachyrhynchus ENSABRG00000006511
apteryx_haastii ENSAHAG00000010936
sphenodon_punctatus ENSSPUG00000012254
