numida_meleagris ENSNMEG00000005590
anser_brachyrhynchus ENSABRG00000020518
calidris_pugnax ENSCPUG00000019133
calidris_pygmaea ENSCPGG00000010660
lepidothrix_coronata ENSLCOG00000005289
apteryx_owenii ENSAOWG00000003356
apteryx_rowi ENSARWG00000004334
chelonoidis_abingdonii ENSCABG00000015274
chrysemys_picta_bellii ENSCPBG00000018481
ursus_americanus ENSUAMG00000005310
neovison_vison ENSNVIG00000024921
equus_asinus_asinus ENSEASG00005007522
aotus_nancymaae ENSANAG00000021999
saimiri_boliviensis_boliviensis ENSSBOG00000004101
macaca_nemestrina ENSMNEG00000003226
macaca_fascicularis ENSMFAG00000030958
mandrillus_leucophaeus ENSMLEG00000038441
papio_anubis ENSPANG00000035833
rhinopithecus_bieti ENSRBIG00000002872
pan_troglodytes ENSPTRG00000050479
pan_paniscus ENSPPAG00000041044
gorilla_gorilla ENSGGOG00000037817
