scophthalmus_maximus ENSSMAG00000016938
takifugu_rubripes ENSTRUG00000021306
oryzias_latipes ENSORLG00020010132
oryzias_latipes ENSORLG00000025488
oryzias_latipes_asm223469v1 ENSORLG00015016209
oryzias_melastigma ENSOMEG00000006969
haplochromis_burtoni ENSHBUG00000004193
pundamilia_nyererei ENSPNYG00000005371
maylandia_zebra ENSMZEG00005022392
astatotilapia_calliptera ENSACLG00000018777
neolamprologus_brichardi ENSNBRG00000005278
amphilophus_citrinellus ENSACIG00000010551
cynoglossus_semilaevis ENSCSEG00000002074
labrus_bergylta ENSLBEG00000005321
amphiprion_ocellaris ENSAOCG00000005621
amphiprion_percula ENSAPEG00000003505
acanthochromis_polyacanthus ENSAPOG00000019640
stegastes_partitus ENSSPAG00000018121
hippocampus_comes ENSHCOG00000000268
seriola_dumerili ENSSDUG00000005425
cyprinodon_variegatus ENSCVAG00000023247
fundulus_heteroclitus ENSFHEG00000000602
monopterus_albus ENSMALG00000003585
anabas_testudineus ENSATEG00000023757
mastacembelus_armatus ENSMAMG00000013894
mola_mola ENSMMOG00000003667
kryptolebias_marmoratus ENSKMAG00000002661
seriola_lalandi_dorsalis ENSSLDG00000014701
