anas_platyrhynchos ENSAPLG00000005211
gallus_gallus ENSGALG00000039724
lonchura_striata ENSLSDG00000005199
serinus_canaria ENSSCAG00000009473
junco_hyemalis ENSJHYG00000011127
zonotrichia_albicollis ENSZALG00000015276
cyanistes_caeruleus ENSCCEG00000002819
taeniopygia_guttata ENSTGUG00000006084
ficedula_albicollis ENSFALG00000009137
lepidothrix_coronata ENSLCOG00000010575
manacus_vitellinus ENSMVIG00005000450
melopsittacus_undulatus ENSMUNG00000015835
calidris_pugnax ENSCPUG00000007338
coturnix_japonica ENSCJPG00005020710
meleagris_gallopavo ENSMGAG00000004410
numida_meleagris ENSNMEG00000018891
anser_brachyrhynchus ENSABRG00000014551
calidris_pygmaea ENSCPGG00000001478
parus_major ENSPMJG00000003644
apteryx_rowi ENSARWG00000015246
apteryx_haastii ENSAHAG00000006089
apteryx_owenii ENSAOWG00000016554
nothoprocta_perdicaria ENSNPEG00000005800
dromaius_novaehollandiae ENSDNVG00000015440
crocodylus_porosus ENSCPRG00005012343
chelonoidis_abingdonii ENSCABG00000013306
gopherus_agassizii ENSGAGG00000025008
chrysemys_picta ENSCPBG00000026061
pogona_vitticeps ENSPVIG00000012817
anolis_carolinensis ENSACAG00000011101
notechis_scutatus ENSNSUG00000008922
salvator_merianae ENSSMRG00000021261
sphenodon_punctatus ENSSPUG00000011881
xenopus_tropicalis ENSXETG00000010644
latimeria_chalumnae ENSLACG00000018404
phascolarctos_cinereus ENSPCIG00000028603
phascolarctos_cinereus ENSPCIG00000023299
vombatus_ursinus ENSVURG00010004329
notamacropus_eugenii ENSMEUG00000015043
monodelphis_domestica ENSMODG00000012117
procavia_capensis ENSPCAG00000009044
echinops_telfairi ENSETEG00000008933
heterocephalus_glaber ENSHGLG00000009851
heterocephalus_glaber ENSHGLG00100018189
fukomys_damarensis ENSFDAG00000012227
cavia_porcellus ENSCPOG00000035994
cavia_aperea ENSCAPG00000017411
octodon_degus ENSODEG00000011366
chinchilla_lanigera ENSCLAG00000012313
ochotona_princeps ENSOPRG00000016551
dasypus_novemcinctus ENSDNOG00000015995
microcebus_murinus ENSMICG00000037067
prolemur_simus ENSPSMG00000008730
propithecus_coquereli ENSPCOG00000009117
otolemur_garnettii ENSOGAG00000006510
homo_sapiens ENSG00000139725
gorilla_gorilla ENSGGOG00000007820
pan_troglodytes ENSPTRG00000005565
pan_paniscus ENSPPAG00000043831
pongo_abelii ENSPPYG00000005055
nomascus_leucogenys ENSNLEG00000030409
rhinopithecus_roxellana ENSRROG00000023702
rhinopithecus_bieti ENSRBIG00000042834
piliocolobus_tephrosceles ENSPTEG00000011927
colobus_angolensis ENSCANG00000017717
mandrillus_leucophaeus ENSMLEG00000042051
cercocebus_atys ENSCATG00000033006
macaca_fascicularis ENSMFAG00000032227
macaca_nemestrina ENSMNEG00000044008
macaca_mulatta ENSMMUG00000012645
theropithecus_gelada ENSTGEG00000025092
papio_anubis ENSPANG00000007557
chlorocebus_sabaeus ENSCSAG00000002190
cebus_capucinus ENSCCAG00000032202
saimiri_boliviensis ENSSBOG00000006898
aotus_nancymaae ENSANAG00000023975
callithrix_jacchus ENSCJAG00000016963
callithrix_jacchus ENSCJAG00000023040
aotus_nancymaae ENSANAG00000022495
cricetulus_griseus ENSCGRG00000015718
cricetulus_griseus ENSCGRG00001015936
cricetulus_griseus ENSCGRG00015025582
mesocricetus_auratus ENSMAUG00000018686
peromyscus_maniculatus ENSPEMG00000006608
microtus_ochrogaster ENSMOCG00000011889
mus_spretus MGP_SPRETEiJ_G0028717
mus_spicilegus ENSMSIG00000014594
mus_musculus ENSMUSG00000029449
mus_caroli MGP_CAROLIEiJ_G0027719
mus_pahari MGP_PahariEiJ_G0024299
rattus_norvegicus ENSRNOG00000042607
meriones_unguiculatus ENSMUGG00000015272
nannospalax_galili ENSNGAG00000010456
jaculus_jaculus ENSJJAG00000011672
spermophilus_dauricus ENSSDAG00000017593
ictidomys_tridecemlineatus ENSSTOG00000024648
urocitellus_parryii ENSUPAG00010005496
marmota_marmota ENSMMMG00000001233
castor_canadensis ENSCCNG00000002596
felis_catus ENSFCAG00000001335
panthera_pardus ENSPPRG00000022261
ursus_americanus ENSUAMG00000008739
ailuropoda_melanoleuca ENSAMEG00000014440
neovison_vison ENSNVIG00000018067
mustela_putorius ENSMPUG00000002061
canis_lupus ENSCAFG00000008188
canis_lupus ENSCAFG00020016626
vulpes_vulpes ENSVVUG00000016687
tursiops_truncatus ENSTTRG00000016498
panthera_tigris ENSPTIG00000015509
ursus_americanus ENSUAMG00000008741
sus_scrofa ENSSSCG00000009807
bos_indicus ENSBIXG00005020370
bos_indicus ENSBIXG00000015194
bos_taurus ENSBTAG00000032534
bos_mutus ENSBMUG00000018018
bison_bison ENSBBBG00000017303
capra_hircus ENSCHIG00000026262
ovis_aries ENSOARG00000012998
equus_caballus ENSECAG00000024780
equus_asinus ENSEASG00005012355
pteropus_vampyrus ENSPVAG00000001259
oryctolagus_cuniculus ENSOCUG00000026192
tupaia_belangeri ENSTBEG00000017134
carlito_syrichta ENSTSYG00000028263
myotis_lucifugus ENSMLUG00000022371
loxodonta_africana ENSLAFG00000031810
dipodomys_ordii ENSDORG00000030199
ornithorhynchus_anatinus ENSOANG00000012561
astyanax_mexicanus ENSAMXG00000038990
astyanax_mexicanus ENSAMXG00005022874
pygocentrus_nattereri ENSPNAG00000016017
ictalurus_punctatus ENSIPUG00000024744
electrophorus_electricus ENSEEEG00000021133
danio_rerio ENSDARG00000054389
denticeps_clupeoides ENSDCDG00000025286
tetraodon_nigroviridis ENSTNIG00000009089
takifugu_rubripes ENSTRUG00000009815
mola_mola ENSMMOG00000008193
labrus_bergylta ENSLBEG00000020179
oryzias_latipes ENSORLG00000027344
oryzias_latipes ENSORLG00015004135
oryzias_latipes ENSORLG00020017061
oryzias_melastigma ENSOMEG00000002252
kryptolebias_marmoratus ENSKMAG00000007849
betta_splendens ENSBSLG00000020782
cottoperca_gobio ENSCGOG00000021162
gasterosteus_aculeatus ENSGACG00000017005
larimichthys_crocea ENSLCRG00005000669
monopterus_albus ENSMALG00000005393
mastacembelus_armatus ENSMAMG00000011010
anabas_testudineus ENSATEG00000021545
lates_calcarifer ENSLCAG00010006817
scophthalmus_maximus ENSSMAG00000001226
seriola_dumerili ENSSDUG00000018293
seriola_lalandi ENSSLDG00000015569
amphiprion_percula ENSAPEG00000010738
amphiprion_ocellaris ENSAOCG00000012182
acanthochromis_polyacanthus ENSAPOG00000014775
stegastes_partitus ENSSPAG00000015495
parambassis_ranga ENSPRNG00000014981
oreochromis_niloticus ENSONIG00000013893
oreochromis_niloticus ENSONIG00000013888
haplochromis_burtoni ENSHBUG00000020016
maylandia_zebra ENSMZEG00005026616
pundamilia_nyererei ENSPNYG00000009589
astatotilapia_calliptera ENSACLG00000016629
neolamprologus_brichardi ENSNBRG00000002893
amphilophus_citrinellus ENSACIG00000016490
gouania_willdenowi ENSGWIG00000022467
fundulus_heteroclitus ENSFHEG00000013109
cyprinodon_variegatus ENSCVAG00000022100
xiphophorus_maculatus ENSXMAG00000014094
xiphophorus_couchianus ENSXCOG00000004457
gambusia_affinis ENSGAFG00000008691
poecilia_formosa ENSPFOG00000019767
poecilia_latipinna ENSPLAG00000023486
poecilia_mexicana ENSPMEG00000020454
poecilia_reticulata ENSPREG00000011566
periophthalmus_magnuspinnatus ENSPMGG00000011523
hippocampus_comes ENSHCOG00000001928
gadus_morhua ENSGMOG00000009857
hucho_hucho ENSHHUG00000042169
hucho_hucho ENSHHUG00000027190
esox_lucius ENSELUG00000020838
clupea_harengus ENSCHAG00000019867
scleropages_formosus ENSSFOG00015015309
paramormyrops_kingsleyae ENSPKIG00000017051
scleropages_formosus ENSSFOG00015004884
paramormyrops_kingsleyae ENSPKIG00000023143
hucho_hucho ENSHHUG00000020739
hucho_hucho ENSHHUG00000003872
esox_lucius ENSELUG00000001481
amphiprion_percula ENSAPEG00000010914
amphiprion_ocellaris ENSAOCG00000003753
amphiprion_ocellaris ENSAOCG00000003780
acanthochromis_polyacanthus ENSAPOG00000012380
acanthochromis_polyacanthus ENSAPOG00000019772
stegastes_partitus ENSSPAG00000011763
lates_calcarifer ENSLCAG00010024834
larimichthys_crocea ENSLCRG00005005083
lepisosteus_oculatus ENSLOCG00000005166
erpetoichthys_calabaricus ENSECRG00000022147
pelodiscus_sinensis ENSPSIG00000016952
chelonoidis_abingdonii ENSCABG00000010945
apteryx_haastii ENSAHAG00000012448
apteryx_owenii ENSAOWG00000010792
apteryx_rowi ENSARWG00000008934
nothoprocta_perdicaria ENSNPEG00000002403
dromaius_novaehollandiae ENSDNVG00000017230
gallus_gallus ENSGALG00000033386
coturnix_japonica ENSCJPG00005013033
anser_brachyrhynchus ENSABRG00000022135
calidris_pugnax ENSCPUG00000003595
crocodylus_porosus ENSCPRG00005012130
sphenodon_punctatus ENSSPUG00000009704
notechis_scutatus ENSNSUG00000004398
latimeria_chalumnae ENSLACG00000012450
erpetoichthys_calabaricus ENSECRG00000010295
callorhinchus_milii ENSCMIG00000006576
eptatretus_burgeri ENSEBUG00000003710
