parus_major ENSPMJG00000007384
cyanistes_caeruleus ENSCCEG00000021548
lonchura_striata_domestica ENSLSDG00000004497
serinus_canaria ENSSCAG00000014901
junco_hyemalis ENSJHYG00000011529
zonotrichia_albicollis ENSZALG00000009995
lepidothrix_coronata ENSLCOG00000008270
manacus_vitellinus ENSMVIG00005004620
anas_platyrhynchos_platyrhynchos ENSAPLG00000017580
apteryx_owenii ENSAOWG00000000575
apteryx_haastii ENSAHAG00000001481
apteryx_rowi ENSARWG00000009643
nothoprocta_perdicaria ENSNPEG00000009633
pogona_vitticeps ENSPVIG00000005227
notechis_scutatus ENSNSUG00000014062
