panthera_tigris_altaica ENSPTIG00000013364
neovison_vison ENSNVIG00000011647
equus_asinus_asinus ENSEASG00005001465
bos_mutus ENSBMUG00000012816
bos_taurus ENSBTAG00000005321
bison_bison_bison ENSBBBG00000008952
homo_sapiens ENSG00000163618
pongo_abelii ENSPPYG00000013749
rhinopithecus_bieti ENSRBIG00000035508
rhinopithecus_roxellana ENSRROG00000030504
piliocolobus_tephrosceles ENSPTEG00000025939
macaca_nemestrina ENSMNEG00000043979
macaca_fascicularis ENSMFAG00000037884
mandrillus_leucophaeus ENSMLEG00000029573
theropithecus_gelada ENSTGEG00000026904
cebus_capucinus ENSCCAG00000024148
callithrix_jacchus ENSCJAG00000019620
saimiri_boliviensis_boliviensis ENSSBOG00000000887
propithecus_coquereli ENSPCOG00000027683
loxodonta_africana ENSLAFG00000010539
ictidomys_tridecemlineatus ENSSTOG00000009531
dasypus_novemcinctus ENSDNOG00000019227
monodelphis_domestica ENSMODG00000002901
