spermophilus_dauricus ENSSDAG00000018722
marmota_marmota_marmota ENSMMMG00000013953
mus_musculus ENSMUSG00000076866
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0002393
mus_spicilegus ENSMSIG00000016053
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0002240
mus_pahari MGP_PahariEiJ_G0002099
castor_canadensis ENSCCNG00000025319
castor_canadensis ENSCCNG00000025316
oryctolagus_cuniculus ENSOCUG00000024472
oryctolagus_cuniculus ENSOCUG00000023049
prolemur_simus ENSPSMG00000012659
microcebus_murinus ENSMICG00000045157
pan_troglodytes ENSPTRG00000046310
pan_paniscus ENSPPAG00000040762
gorilla_gorilla ENSGGOG00000039562
homo_sapiens ENSG00000211816
pongo_abelii ENSPPYG00000005632
nomascus_leucogenys ENSNLEG00000031642
macaca_fascicularis ENSMFAG00000009501
macaca_nemestrina ENSMNEG00000001485
cercocebus_atys ENSCATG00000020630
papio_anubis ENSPANG00000026148
theropithecus_gelada ENSTGEG00000017456
mandrillus_leucophaeus ENSMLEG00000025157
chlorocebus_sabaeus ENSCSAG00000016322
chlorocebus_sabaeus ENSCSAG00000016317
rhinopithecus_bieti ENSRBIG00000031156
rhinopithecus_roxellana ENSRROG00000027479
colobus_angolensis_palliatus ENSCANG00000043269
aotus_nancymaae ENSANAG00000013268
pan_paniscus ENSPPAG00000032924
pan_troglodytes ENSPTRG00000042891
homo_sapiens ENSG00000211817
gorilla_gorilla ENSGGOG00000036359
pongo_abelii ENSPPYG00000005633
nomascus_leucogenys ENSNLEG00000030966
rhinopithecus_roxellana ENSRROG00000017505
rhinopithecus_bieti ENSRBIG00000016513
colobus_angolensis_palliatus ENSCANG00000000556
piliocolobus_tephrosceles ENSPTEG00000021634
macaca_fascicularis ENSMFAG00000009520
macaca_nemestrina ENSMNEG00000038225
theropithecus_gelada ENSTGEG00000017475
cercocebus_atys ENSCATG00000019859
papio_anubis ENSPANG00000020463
mandrillus_leucophaeus ENSMLEG00000021755
cebus_capucinus ENSCCAG00000017661
callithrix_jacchus ENSCJAG00000046662
saimiri_boliviensis_boliviensis ENSSBOG00000019119
cebus_capucinus ENSCCAG00000018642
saimiri_boliviensis_boliviensis ENSSBOG00000004003
callithrix_jacchus ENSCJAG00000047836
aotus_nancymaae ENSANAG00000013358
otolemur_garnettii ENSOGAG00000029709
canis_lupus_dingo ENSCAFG00020007918
canis_lupus_familiaris ENSCAFG00000029747
vulpes_vulpes ENSVVUG00000024580
vulpes_vulpes ENSVVUG00000024577
mustela_putorius_furo ENSMPUG00000007342
mustela_putorius_furo ENSMPUG00000007338
felis_catus ENSFCAG00000042044
panthera_pardus ENSPPRG00000003891
equus_caballus ENSECAG00000032312
myotis_lucifugus ENSMLUG00000024645
myotis_lucifugus ENSMLUG00000030412
myotis_lucifugus ENSMLUG00000026867
loxodonta_africana ENSLAFG00000031182
dasypus_novemcinctus ENSDNOG00000033466
dasypus_novemcinctus ENSDNOG00000040273
prolemur_simus ENSPSMG00000010377
monodelphis_domestica ENSMODG00000005693
castor_canadensis ENSCCNG00000013880
tupaia_belangeri ENSTBEG00000017526
prolemur_simus ENSPSMG00000004844
otolemur_garnettii ENSOGAG00000027202
rhinopithecus_bieti ENSRBIG00000041666
rhinopithecus_roxellana ENSRROG00000044326
colobus_angolensis_palliatus ENSCANG00000034506
piliocolobus_tephrosceles ENSPTEG00000021094
chlorocebus_sabaeus ENSCSAG00000016292
theropithecus_gelada ENSTGEG00000017567
mandrillus_leucophaeus ENSMLEG00000039915
papio_anubis ENSPANG00000022567
macaca_fascicularis ENSMFAG00000000512
macaca_nemestrina ENSMNEG00000038635
cercocebus_atys ENSCATG00000037406
pan_troglodytes ENSPTRG00000044038
pan_paniscus ENSPPAG00000037107
homo_sapiens ENSG00000277734
gorilla_gorilla ENSGGOG00000024280
pongo_abelii ENSPPYG00000005637
nomascus_leucogenys ENSNLEG00000031059
callithrix_jacchus ENSCJAG00000008714
saimiri_boliviensis_boliviensis ENSSBOG00000033224
cebus_capucinus ENSCCAG00000038072
aotus_nancymaae ENSANAG00000024027
equus_asinus_asinus ENSEASG00005011675
loxodonta_africana ENSLAFG00000029692
echinops_telfairi ENSETEG00000017991
sarcophilus_harrisii ENSSHAG00000010059
phascolarctos_cinereus ENSPCIG00000027784
monodelphis_domestica ENSMODG00000005630
salvator_merianae ENSSMRG00000004987
