meleagris_gallopavo ENSMGAG00000012674
coturnix_japonica ENSCJPG00005019221
numida_meleagris ENSNMEG00000022362
calidris_pugnax ENSCPUG00000001925
calidris_pygmaea ENSCPGG00000004973
melopsittacus_undulatus ENSMUNG00000010204
gallus_gallus ENSGALG00000020417
serinus_canaria ENSSCAG00000010111
taeniopygia_guttata ENSTGUG00000016281
ficedula_albicollis ENSFALG00000006287
parus_major ENSPMJG00000016700
cyanistes_caeruleus ENSCCEG00000019399
junco_hyemalis ENSJHYG00000011195
taeniopygia_guttata ENSTGUG00000012129
lonchura_striata_domestica ENSLSDG00000002631
zonotrichia_albicollis ENSZALG00000002489
manacus_vitellinus ENSMVIG00005003057
lepidothrix_coronata ENSLCOG00000015998
anser_brachyrhynchus ENSABRG00000007546
anas_platyrhynchos_platyrhynchos ENSAPLG00000022258
apteryx_haastii ENSAHAG00000002663
apteryx_owenii ENSAOWG00000017037
apteryx_rowi ENSARWG00000010729
dromaius_novaehollandiae ENSDNVG00000001723
nothoprocta_perdicaria ENSNPEG00000007657
chelonoidis_abingdonii ENSCABG00000022706
gopherus_agassizii ENSGAGG00000008651
chrysemys_picta_bellii ENSCPBG00000026227
pelodiscus_sinensis ENSPSIG00000016409
anolis_carolinensis ENSACAG00000016482
pogona_vitticeps ENSPVIG00000020053
notechis_scutatus ENSNSUG00000003017
salvator_merianae ENSSMRG00000012627
sphenodon_punctatus ENSSPUG00000016966
notamacropus_eugenii ENSMEUG00000000336
phascolarctos_cinereus ENSPCIG00000033435
monodelphis_domestica ENSMODG00000006248
sarcophilus_harrisii ENSSHAG00000018709
mus_musculus ENSMUSG00000021241
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017951
mus_spicilegus ENSMSIG00000004207
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018796
mus_pahari MGP_PahariEiJ_G0029710
rattus_norvegicus ENSRNOG00000012085
meriones_unguiculatus ENSMUGG00000014809
cricetulus_griseus_crigri-picr ENSCGRG00015000426
cricetulus_griseus_crigri ENSCGRG00000015074
cricetulus_griseus_chok1gshd ENSCGRG00001010257
mesocricetus_auratus ENSMAUG00000019928
microtus_ochrogaster ENSMOCG00000000566
peromyscus_maniculatus_bairdii ENSPEMG00000028312
jaculus_jaculus ENSJJAG00000015802
castor_canadensis ENSCCNG00000027503
heterocephalus_glaber_female ENSHGLG00000014537
heterocephalus_glaber_male ENSHGLG00100015399
fukomys_damarensis ENSFDAG00000008402
octodon_degus ENSODEG00000015593
octodon_degus ENSODEG00000003706
cavia_porcellus ENSCPOG00000035413
dipodomys_ordii ENSDORG00000027372
chinchilla_lanigera ENSCLAG00000006410
oryctolagus_cuniculus ENSOCUG00000014072
ochotona_princeps ENSOPRG00000011684
pan_troglodytes ENSPTRG00000006536
pan_paniscus ENSPPAG00000023891
homo_sapiens ENSG00000165898
gorilla_gorilla ENSGGOG00000027499
pongo_abelii ENSPPYG00000005988
nomascus_leucogenys ENSNLEG00000016268
macaca_mulatta ENSMMUG00000006566
macaca_fascicularis ENSMFAG00000036612
macaca_nemestrina ENSMNEG00000036042
cercocebus_atys ENSCATG00000039296
chlorocebus_sabaeus ENSCSAG00000012521
theropithecus_gelada ENSTGEG00000024164
mandrillus_leucophaeus ENSMLEG00000031882
papio_anubis ENSPANG00000006983
rhinopithecus_roxellana ENSRROG00000030258
rhinopithecus_bieti ENSRBIG00000038871
piliocolobus_tephrosceles ENSPTEG00000027301
colobus_angolensis_palliatus ENSCANG00000041757
macaca_fascicularis ENSMFAG00000039581
macaca_mulatta ENSMMUG00000048595
macaca_nemestrina ENSMNEG00000027031
papio_anubis ENSPANG00000033855
cercocebus_atys ENSCATG00000020760
rhinopithecus_bieti ENSRBIG00000043834
colobus_angolensis_palliatus ENSCANG00000036864
pan_troglodytes ENSPTRG00000051248
pan_paniscus ENSPPAG00000033017
saimiri_boliviensis_boliviensis ENSSBOG00000031449
cebus_capucinus ENSCCAG00000029795
callithrix_jacchus ENSCJAG00000020479
aotus_nancymaae ENSANAG00000028498
aotus_nancymaae ENSANAG00000025634
gorilla_gorilla ENSGGOG00000012894
carlito_syrichta ENSTSYG00000000379
prolemur_simus ENSPSMG00000017853
propithecus_coquereli ENSPCOG00000018511
microcebus_murinus ENSMICG00000043470
otolemur_garnettii ENSOGAG00000002698
ursus_americanus ENSUAMG00000002105
ursus_maritimus ENSUMAG00000008826
ailuropoda_melanoleuca ENSAMEG00000018270
neovison_vison ENSNVIG00000015997
mustela_putorius_furo ENSMPUG00000009385
canis_lupus_dingo ENSCAFG00020003579
canis_lupus_familiaris ENSCAFG00000032473
vulpes_vulpes ENSVVUG00000005108
panthera_pardus ENSPPRG00000011662
panthera_tigris_altaica ENSPTIG00000016002
felis_catus ENSFCAG00000040858
myotis_lucifugus ENSMLUG00000012299
myotis_lucifugus ENSMLUG00000029419
pteropus_vampyrus ENSPVAG00000000652
equus_asinus_asinus ENSEASG00005011688
equus_caballus ENSECAG00000018007
vicugna_pacos ENSVPAG00000000817
sus_scrofa ENSSSCG00000002367
bos_mutus ENSBMUG00000007353
bison_bison_bison ENSBBBG00000014070
capra_hircus ENSCHIG00000006650
bos_taurus ENSBTAG00000021956
tursiops_truncatus ENSTTRG00000013028
ictidomys_tridecemlineatus ENSSTOG00000020219
marmota_marmota_marmota ENSMMMG00000016320
urocitellus_parryii ENSUPAG00010014470
spermophilus_dauricus ENSSDAG00000008128
spermophilus_dauricus ENSSDAG00000019514
tupaia_belangeri ENSTBEG00000011927
erinaceus_europaeus ENSEEUG00000009553
loxodonta_africana ENSLAFG00000001607
echinops_telfairi ENSETEG00000003723
dasypus_novemcinctus ENSDNOG00000034125
xenopus_tropicalis ENSXETG00000031871
latimeria_chalumnae ENSLACG00000018726
pygocentrus_nattereri ENSPNAG00000017641
astyanax_mexicanus ENSAMXG00000041534
ictalurus_punctatus ENSIPUG00000023958
danio_rerio ENSDARG00000038154
takifugu_rubripes ENSTRUG00000024036
tetraodon_nigroviridis ENSTNIG00000017399
gasterosteus_aculeatus ENSGACG00000007712
labrus_bergylta ENSLBEG00000001106
scophthalmus_maximus ENSSMAG00000004340
cynoglossus_semilaevis ENSCSEG00000000464
seriola_dumerili ENSSDUG00000003113
seriola_lalandi_dorsalis ENSSLDG00000020710
monopterus_albus ENSMALG00000005560
neolamprologus_brichardi ENSNBRG00000004609
oreochromis_niloticus ENSONIG00000020174
astatotilapia_calliptera ENSACLG00000023953
maylandia_zebra ENSMZEG00005020772
haplochromis_burtoni ENSHBUG00000019196
pundamilia_nyererei ENSPNYG00000023189
amphilophus_citrinellus ENSACIG00000007660
