urocitellus_parryii ENSUPAG00010004568
spermophilus_dauricus ENSSDAG00000008263
mus_spicilegus ENSMSIG00000001763
mus_spretus MGP_SPRETEiJ_G0031994
mus_musculus ENSMUSG00000044748
mus_caroli MGP_CAROLIEiJ_G0030885
mus_pahari MGP_PahariEiJ_G0021346
rattus_norvegicus ENSRNOG00000013768
meriones_unguiculatus ENSMUGG00000010559
meriones_unguiculatus ENSMUGG00000004099
meriones_unguiculatus ENSMUGG00000016001
cricetulus_griseus ENSCGRG00001004865
cricetulus_griseus ENSCGRG00000011998
cricetulus_griseus ENSCGRG00015021713
mesocricetus_auratus ENSMAUG00000015973
peromyscus_maniculatus ENSPEMG00000011579
nannospalax_galili ENSNGAG00000020804
tupaia_belangeri ENSTBEG00000013364
prolemur_simus ENSPSMG00000003154
